Random-255 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
4096,6.42603e-009,6.83443e-008,1.25323e-008,1.19334e-008,1.51083e-008,1.20612e-008,1.19572e-008,9.2238e-009,8.56121e-009,8.35455e-009,8.57469e-009,8.35637e-009,8.73686e-009,9.03579e-009,8.77591e-009,1.32322e-008,9.92899e-009,1.00761e-008,8.07966e-009,6.28162e-008,8.95805e-009,1.03317e-008,1.14538e-006,6.77205e-008,7.71998e-009,,7.57017e-008,1.01139e-007,8.81359e-008,
8192,6.71412e-009,7.32351e-008,1.2953e-008,1.25834e-008,1.26326e-008,1.21242e-008,1.20066e-008,1.09391e-008,8.92034e-009,8.85476e-009,8.89485e-009,8.81453e-009,8.35888e-009,9.24042e-009,9.2708e-009,1.56292e-008,1.04229e-008,1.04314e-008,8.00053e-009,7.98697e-008,8.84498e-009,1.11566e-008,,7.60187e-008,7.93585e-009,,8.22186e-008,1.12188e-007,1.00486e-007,
16384,6.69275e-009,,1.27648e-008,1.2129e-008,1.26694e-008,1.24975e-008,1.25827e-008,1.19702e-008,9.11059e-009,8.77199e-009,8.54787e-009,8.51526e-009,8.44116e-009,9.38359e-009,9.34406e-009,1.63128e-008,9.96866e-009,1.02597e-008,8.15327e-009,8.44843e-008,9.61868e-009,1.1077e-008,,7.39468e-008,8.1106e-009,,8.31038e-008,1.11357e-007,9.89021e-008,
32768,7.31958e-009,,1.24561e-008,1.25589e-008,1.23725e-008,1.62711e-008,1.31727e-008,1.28683e-008,9.81654e-009,9.75892e-009,9.80474e-009,9.73336e-009,9.80858e-009,1.02748e-008,9.83372e-009,1.80563e-008,1.08353e-008,1.13211e-008,8.84309e-009,1.60991e-007,1.01263e-008,1.79658e-008,,7.18241e-008,8.73163e-009,,7.76786e-008,1.15774e-007,1.02088e-007,
65536,7.22152e-009,,,1.26436e-008,1.25023e-008,1.24148e-008,1.25717e-008,1.22666e-008,9.68559e-009,9.2268e-009,9.60129e-009,9.45441e-009,9.70333e-009,1.03206e-008,1.02746e-008,1.8014e-008,1.08855e-008,1.105e-008,9.10318e-009,2.53466e-007,1.02645e-008,2.04464e-008,,7.70761e-008,9.37263e-009,,8.29306e-008,1.19426e-007,1.06164e-007,
131072,7.83829e-009,,,,,,,1.27645e-008,9.38569e-009,9.7321e-009,9.87709e-009,9.89497e-009,1.01476e-008,1.04399e-008,1.01992e-008,1.80484e-008,1.09297e-008,1.10758e-008,8.97893e-009,2.52317e-007,1.01831e-008,2.1465e-008,,8.00439e-008,9.32081e-009,,9.84195e-008,1.25412e-007,1.17536e-007,
262144,7.10733e-009,,,,,,,1.31334e-008,9.84504e-009,9.59417e-009,9.22799e-009,9.37675e-009,9.64299e-009,1.02103e-008,9.64662e-009,1.80082e-008,1.05023e-008,1.08033e-008,9.13189e-009,3.36874e-007,1.03438e-008,2.44397e-008,,1.04549e-007,9.13021e-009,,1.1912e-007,1.4143e-007,1.34933e-007,
524288,7.11208e-009,,,,,,,1.27916e-008,9.87206e-009,9.52782e-009,9.77338e-009,9.76395e-009,9.89399e-009,1.04371e-008,1.01457e-008,1.75925e-008,1.05239e-008,1.07359e-008,8.52888e-009,3.99986e-007,1.003e-008,2.83872e-008,,1.77509e-007,9.52586e-009,,1.99314e-007,1.88583e-007,2.01621e-007,
1048576,7.33152e-009,,,,,,,1.22523e-008,9.28672e-009,9.77198e-009,9.79426e-009,9.26012e-009,9.84902e-009,1.09075e-008,1.01315e-008,1.83848e-008,1.03297e-008,1.07107e-008,8.63217e-009,4.16686e-007,1.00732e-008,2.60099e-008,,2.72782e-007,1.25872e-008,,2.85714e-007,2.96166e-007,2.81153e-007,
2097152,7.33194e-009,,,,,,,1.23417e-008,9.36984e-009,9.67295e-009,9.57182e-009,1.0113e-008,9.39156e-009,1.02134e-008,9.90873e-009,1.73821e-008,1.22602e-008,1.06148e-008,9.0001e-009,4.75483e-007,1.00923e-008,2.75078e-008,,3.13344e-007,1.0581e-008,,3.22839e-007,3.51707e-007,3.2634e-007,
4194304,6.99893e-009,,,,,,,1.22502e-008,9.55219e-009,9.38443e-009,1.03746e-008,9.93017e-009,9.43102e-009,1.12232e-008,9.67867e-009,1.81293e-008,1.03154e-008,1.11759e-008,8.62246e-009,5.2788e-007,1.06905e-008,2.63462e-008,,3.20255e-007,1.00249e-008,,3.30372e-007,3.80762e-007,3.45515e-007,
8388608,7.11222e-009,,,,,,,1.24318e-008,9.69034e-009,9.62427e-009,9.38415e-009,9.41782e-009,9.43486e-009,1.0132e-008,9.68678e-009,1.74754e-008,1.07937e-008,1.07619e-008,8.65508e-009,,,,,3.20841e-007,1.04705e-008,,3.46581e-007,4.17173e-007,3.65545e-007,
