Repeat ´12345´ string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<20>wc,Fingerprint_2<100>wc,Fingerprint_2<1/2sqrt n>wc,Fingerprint_2<2sqrt n>wc,Fingerprint_2<ln n>wc,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},RMQ<n;(2)log n>_{virtual},RMQ<n;(4)log n>_{virtual},
2048,1.27673e-007,6.44226e-008,2.01707e-008,2.24407e-008,4.03331e-008,2.92554e-008,4.06485e-008,2.7004e-008,3.28946e-008,2.67411e-008,3.24363e-008,2.75945e-008,6.33698e-008,2.6766e-008,2.68458e-008,3.15674e-008,2.86644e-008,4.41201e-008,2.97961e-008,2.72298e-008,7.41704e-008,4.04666e-008,4.30449e-008,6.08134e-007,6.47693e-008,1.97061e-008,1.43234e-006,7.13085e-008,9.34071e-008,8.63631e-008,8.85522e-008,8.50459e-008,
4096,2.34623e-007,6.99211e-008,3.01217e-008,2.53397e-008,3.9115e-008,2.96002e-008,4.08266e-008,3.14193e-008,4.78712e-008,3.09659e-008,3.74374e-008,3.16065e-008,9.8143e-008,3.25289e-008,3.149e-008,3.36653e-008,3.20118e-008,5.13173e-008,3.26995e-008,2.97782e-008,8.52299e-008,4.65336e-008,4.48349e-008,1.16036e-006,7.11616e-008,2.21163e-008,2.83308e-006,7.9211e-008,1.01305e-007,8.54611e-008,1.00443e-007,8.96014e-008,
8192,4.61411e-007,7.50841e-008,3.83105e-008,3.95506e-008,4.38669e-008,4.5584e-008,6.54832e-008,4.10845e-008,8.38339e-008,3.98687e-008,4.92278e-008,4.02935e-008,1.67573e-007,4.09547e-008,3.79555e-008,3.91289e-008,4.19452e-008,6.66868e-008,4.07679e-008,3.65901e-008,1.00975e-007,5.13785e-008,5.13769e-008,2.28525e-006,7.4142e-008,2.42492e-008,5.67674e-006,8.32542e-008,1.04042e-007,9.88561e-008,1.10051e-007,9.766e-008,
16384,9.13583e-007,,3.93389e-008,4.10528e-008,5.34381e-008,5.31083e-008,7.16141e-008,6.49138e-008,1.99812e-007,6.29332e-008,8.9646e-008,5.9319e-008,3.42507e-007,6.68094e-008,4.45244e-008,4.76379e-008,4.53889e-008,8.46846e-008,4.38606e-008,4.17184e-008,1.05373e-007,5.283e-008,5.29418e-008,4.52923e-006,7.87714e-008,2.55027e-008,1.12011e-005,8.59684e-008,1.0423e-007,9.76262e-008,1.10706e-007,1.02055e-007,
32768,1.81673e-006,,4.16654e-008,4.4484e-008,6.12305e-008,8.52654e-008,1.39756e-007,8.44286e-008,4.70649e-007,1.21673e-007,1.29154e-007,7.63913e-008,6.87159e-007,8.60095e-008,5.54575e-008,5.5287e-008,5.38133e-008,1.04436e-007,5.07213e-008,4.9873e-008,1.81673e-007,7.41962e-008,6.86802e-008,8.95388e-006,8.06567e-008,2.63298e-008,,8.58803e-008,1.11358e-007,9.89872e-008,1.09405e-007,1.00288e-007,
65536,7.32081e-006,,,4.49492e-008,6.28382e-008,8.67665e-008,1.39915e-007,2.1113e-007,1.89632e-006,4.22797e-007,3.52449e-007,1.45297e-007,2.65602e-006,2.00225e-007,8.10551e-008,8.16186e-008,7.40273e-008,1.48353e-007,7.47886e-008,7.02361e-008,4.29044e-007,1.87492e-007,2.05167e-007,1.75822e-005,8.45072e-008,2.80883e-008,,8.66162e-008,1.14379e-007,9.90979e-008,1.1027e-007,1.01544e-007,
131072,1.82986e-005,,,,,,,3.31558e-007,4.64158e-006,1.00805e-006,5.89865e-007,2.14968e-007,6.58979e-006,3.21031e-007,1.11491e-007,1.15276e-007,9.71702e-008,1.83586e-007,9.40826e-008,9.34316e-008,5.01787e-007,2.16365e-007,2.64563e-007,,8.36256e-008,2.7428e-008,,8.42048e-008,1.13442e-007,1.03401e-007,1.12927e-007,9.98761e-008,
262144,,,,,,,,5.12553e-007,1.02808e-005,2.18563e-006,9.29127e-007,3.32859e-007,1.40246e-005,5.01959e-007,1.5941e-007,1.5859e-007,1.40369e-007,2.54923e-007,1.3658e-007,1.34907e-007,5.95559e-007,2.48497e-007,3.0157e-007,,8.00435e-008,2.66685e-008,,8.47715e-008,1.18223e-007,1.05856e-007,1.19742e-007,1.02611e-007,
524288,,,,,,,,8.67531e-007,,4.67559e-006,1.44496e-006,6.45727e-007,,8.58813e-007,2.54258e-007,2.217e-007,3.87594e-007,5.41008e-007,3.91599e-007,3.88675e-007,6.37565e-007,2.80792e-007,3.30911e-007,,8.46031e-008,2.84309e-008,,9.12168e-008,1.14564e-007,1.03419e-007,1.22148e-007,1.03903e-007,
1048576,,,,,,,,6.86652e-006,,2.71572e-005,1.14309e-005,2.1625e-006,,6.86673e-006,4.00403e-007,3.53729e-007,5.49551e-007,7.62134e-007,5.55264e-007,5.49577e-007,6.64066e-007,2.97715e-007,3.60909e-007,,8.51813e-008,2.86752e-008,,9.9541e-008,1.22463e-007,1.1376e-007,1.21546e-007,1.11865e-007,
2097152,,,,,,,,7.24403e-006,,,,3.68292e-006,,7.27097e-006,5.27051e-007,5.66936e-007,8.7383e-007,1.12012e-006,8.82158e-007,8.75758e-007,7.08619e-007,3.03738e-007,3.82355e-007,,8.29724e-008,2.88854e-008,,9.93822e-008,1.27604e-007,1.11409e-007,1.23413e-007,1.07127e-007,
4194304,,,,,,,,1.44462e-005,,,,6.48186e-006,,1.43624e-005,8.48955e-007,8.38432e-007,1.19737e-006,1.4775e-006,1.20288e-006,1.18403e-006,7.55945e-007,3.26221e-007,4.02141e-007,,8.81344e-008,2.9448e-008,,1.00906e-007,1.21574e-007,1.15576e-007,1.25913e-007,1.17301e-007,
8388608,,,,,,,,,,,,9.09559e-006,,,1.08807e-006,1.23706e-006,1.57088e-006,1.94137e-006,1.57553e-006,1.56664e-006,7.89156e-007,3.44389e-007,,,8.84639e-008,2.97467e-008,,9.30466e-008,1.31071e-007,1.08329e-007,1.2218e-007,1.08656e-007,
