Random-10-Repeat-10 string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
139,1.25016e-007,1.48064e-008,4.11365e-008,5.48952e-008,1.61752e-007,3.44317e-008,5.24508e-008,3.54794e-008,3.65968e-008,3.00317e-008,2.9054e-008,1.26273e-007,1.26343e-007,3.72952e-008,3.79937e-008,3.37333e-008,9.57524e-008,4.79111e-008,4.31619e-008,6.10413e-008,4.51175e-008,5.60127e-008,3.05206e-008,4.51175e-008,4.65143e-008,3.77841e-008,4.88191e-008,5.23111e-008,5.39873e-008,
140,1.25854e-007,1.52254e-008,3.70857e-008,5.05651e-008,1.47644e-007,3.59683e-008,5.1054e-008,3.70857e-008,3.51302e-008,3.14984e-008,2.97524e-008,1.35841e-007,1.26902e-007,3.82032e-008,3.85524e-008,3.53397e-008,9.6381e-008,4.85397e-008,4.37905e-008,6.24381e-008,4.55365e-008,5.25206e-008,3.0381e-008,4.3581e-008,4.26032e-008,3.77841e-008,4.71429e-008,5.51746e-008,5.74095e-008,
141,1.27111e-007,1.52254e-008,3.90413e-008,5.51048e-008,1.52114e-007,3.61079e-008,5.27302e-008,3.6527e-008,3.55492e-008,3.10794e-008,3.11492e-008,1.3661e-007,1.2781e-007,3.93206e-008,3.9181e-008,3.51302e-008,9.70794e-008,4.90286e-008,4.42095e-008,6.52318e-008,4.53968e-008,5.29397e-008,3.04508e-008,4.74921e-008,4.60952e-008,3.80635e-008,5.04254e-008,5.18921e-008,5.60127e-008,
142,1.25994e-007,1.52254e-008,4.00191e-008,5.29397e-008,1.52883e-007,3.68064e-008,5.44064e-008,3.64571e-008,3.61079e-008,3.23365e-008,3.17079e-008,1.35911e-007,1.27251e-007,3.99492e-008,3.98095e-008,3.46413e-008,9.67302e-008,5.07746e-008,4.49778e-008,6.94921e-008,4.56762e-008,5.25206e-008,3.03111e-008,4.38603e-008,4.31619e-008,3.75048e-008,4.74921e-008,5.15429e-008,5.60825e-008,
143,1.26832e-007,1.52254e-008,4.09968e-008,5.4546e-008,1.50997e-007,3.77841e-008,5.29397e-008,3.59683e-008,3.68064e-008,3.41524e-008,3.07302e-008,1.35492e-007,1.2774e-007,4.14159e-008,4.05778e-008,3.59683e-008,9.70794e-008,5.06349e-008,4.52571e-008,4.28825e-008,4.46286e-008,5.09841e-008,3.01016e-008,4.41397e-008,4.33714e-008,3.70159e-008,4.81905e-008,5.30794e-008,5.34984e-008,
144,1.28438e-007,1.50857e-008,3.73651e-008,5.03556e-008,1.25016e-007,3.84127e-008,5.67111e-008,4.6654e-008,3.80635e-008,3.32444e-008,3.17079e-008,1.36819e-007,1.29905e-007,4.2254e-008,4.14857e-008,3.24064e-008,9.33778e-008,5.19619e-008,4.60952e-008,4.71429e-008,4.54667e-008,5.21714e-008,3.00317e-008,4.37206e-008,4.23937e-008,3.74349e-008,4.71429e-008,5.11937e-008,5.28698e-008,
145,1.29346e-007,1.50159e-008,3.86222e-008,5.18921e-008,1.3186e-007,3.88318e-008,5.8946e-008,4.16952e-008,3.85524e-008,3.41524e-008,3.26857e-008,1.37867e-007,1.30603e-007,4.33016e-008,4.20445e-008,3.31048e-008,9.60318e-008,4.84698e-008,4.24635e-008,6.53714e-008,4.48381e-008,5.25206e-008,3.03111e-008,4.51873e-008,4.31619e-008,3.77143e-008,4.7073e-008,5.1054e-008,5.32889e-008,
146,1.30952e-007,1.4946e-008,4.01587e-008,5.30095e-008,1.33397e-007,3.98095e-008,5.62921e-008,4.00191e-008,3.93905e-008,3.49206e-008,3.3454e-008,1.39683e-007,1.3186e-007,4.45587e-008,4.33016e-008,3.55492e-008,9.69397e-008,4.94476e-008,4.40698e-008,6.83048e-008,4.56762e-008,5.31492e-008,3.06603e-008,4.51873e-008,4.4e-008,3.79937e-008,4.88191e-008,5.25905e-008,5.40571e-008,
147,1.30743e-007,1.50159e-008,4.12064e-008,5.46857e-008,1.34235e-007,4.03683e-008,5.34286e-008,4.65143e-008,4.03683e-008,3.56889e-008,3.40825e-008,1.39613e-007,1.3214e-007,4.42794e-008,4.38603e-008,3.54095e-008,9.60318e-008,4.99365e-008,4.45587e-008,6.23683e-008,4.51175e-008,5.2381e-008,2.99619e-008,4.62349e-008,4.51175e-008,3.67365e-008,4.97968e-008,5.16127e-008,5.27302e-008,
148,1.31162e-007,1.47365e-008,3.73651e-008,5.0146e-008,1.37238e-007,4.14159e-008,5.19619e-008,4.71429e-008,4.06476e-008,3.63873e-008,3.49206e-008,1.39613e-007,1.32838e-007,4.56064e-008,4.44191e-008,3.61778e-008,9.6381e-008,4.99365e-008,4.48381e-008,4.88889e-008,4.54667e-008,5.21714e-008,2.98921e-008,4.44889e-008,4.34413e-008,3.70857e-008,5.07746e-008,5.14032e-008,5.37778e-008,
149,1.38425e-007,1.48762e-008,3.88318e-008,5.09143e-008,1.35352e-007,4.19746e-008,5.56635e-008,4.88191e-008,4.12762e-008,3.6946e-008,3.54095e-008,1.39264e-007,1.32e-007,4.55365e-008,4.58857e-008,3.7854e-008,9.74984e-008,5.02857e-008,4.56064e-008,6.03429e-008,4.52571e-008,5.22413e-008,3.01714e-008,4.37206e-008,4.24635e-008,3.6946e-008,5.00762e-008,5.09841e-008,5.24508e-008,
150,1.33327e-007,1.45968e-008,4.06476e-008,5.40572e-008,1.39403e-007,4.30222e-008,5.61524e-008,3.39429e-008,4.27429e-008,3.81333e-008,3.63873e-008,1.42197e-007,1.34584e-007,4.75619e-008,4.61651e-008,3.73651e-008,9.86159e-008,5.21016e-008,4.65841e-008,6.68381e-008,4.88191e-008,5.31492e-008,3.01714e-008,4.46984e-008,4.31619e-008,3.70159e-008,4.79111e-008,5.12635e-008,5.33587e-008,
151,1.33537e-007,1.48762e-008,4.12064e-008,5.5873e-008,1.42616e-007,4.4e-008,5.74095e-008,3.66667e-008,4.50476e-008,3.86921e-008,3.70857e-008,1.42337e-007,1.35073e-007,4.81206e-008,4.67937e-008,3.96698e-008,1.07486e-007,5.27302e-008,4.67238e-008,4.5746e-008,4.79111e-008,5.22413e-008,3.0381e-008,4.49079e-008,4.3581e-008,3.70857e-008,4.83302e-008,5.15429e-008,5.28e-008,
152,1.32838e-007,1.4946e-008,3.68762e-008,5.00762e-008,1.40171e-007,4.31619e-008,5.87365e-008,3.67365e-008,4.60952e-008,3.93206e-008,3.77841e-008,1.41498e-007,1.34235e-007,4.79111e-008,4.72127e-008,4.06476e-008,9.95238e-008,5.32889e-008,4.70032e-008,6.23683e-008,4.79111e-008,5.21016e-008,3.00317e-008,4.44889e-008,4.31619e-008,3.73651e-008,4.79111e-008,5.07048e-008,5.27302e-008,
153,1.34933e-007,1.51556e-008,3.94603e-008,5.21016e-008,1.41778e-007,4.53968e-008,6.15302e-008,3.6527e-008,4.46286e-008,4.00191e-008,3.88317e-008,1.43524e-007,1.35981e-007,4.95175e-008,4.81905e-008,3.55492e-008,9.55429e-008,5.36381e-008,4.72127e-008,5.90159e-008,4.79111e-008,5.24508e-008,3.03111e-008,4.73524e-008,4.51873e-008,3.70159e-008,4.98667e-008,5.13333e-008,5.30794e-008,
154,1.33956e-007,1.4946e-008,3.99492e-008,5.2381e-008,1.42127e-007,4.48381e-008,5.30095e-008,3.8273e-008,4.49079e-008,4.04381e-008,3.93905e-008,1.42756e-007,1.46387e-007,5.00762e-008,4.86794e-008,3.62476e-008,9.6381e-008,4.91683e-008,4.46286e-008,6.39746e-008,4.81206e-008,5.25905e-008,2.98921e-008,4.3581e-008,4.2254e-008,3.68762e-008,4.67238e-008,5.09143e-008,5.27302e-008,
155,1.46248e-007,1.48762e-008,4.18349e-008,5.53143e-008,1.47365e-007,2.47937e-008,5.26603e-008,3.68064e-008,2.52127e-008,4.19048e-008,4.07873e-008,1.4534e-007,1.39333e-007,5.11937e-008,3.05206e-008,3.63873e-008,9.88953e-008,5.07048e-008,4.86095e-008,5.2381e-008,4.77714e-008,5.55937e-008,2.98921e-008,4.7073e-008,4.30222e-008,3.70159e-008,4.77016e-008,5.09841e-008,5.30794e-008,
156,1.35981e-007,1.50159e-008,3.67365e-008,4.98667e-008,1.48902e-007,2.56317e-008,5.66413e-008,3.86921e-008,2.70984e-008,4.2673e-008,4.1346e-008,1.44641e-007,1.38565e-007,5.09143e-008,2.98921e-008,3.72952e-008,9.72889e-008,5.11238e-008,4.86095e-008,7.00508e-008,4.82603e-008,5.21016e-008,2.97524e-008,4.72127e-008,4.51873e-008,3.75746e-008,5.00762e-008,5.04254e-008,5.27302e-008,
157,1.47225e-007,1.50857e-008,3.8273e-008,5.22413e-008,1.5386e-007,2.68889e-008,5.81079e-008,3.84825e-008,2.73079e-008,4.39302e-008,4.2673e-008,1.46457e-007,1.40451e-007,5.11238e-008,3.15683e-008,3.83429e-008,9.84762e-008,5.19619e-008,4.67937e-008,5.99238e-008,4.69333e-008,5.29397e-008,2.98222e-008,4.62349e-008,4.47683e-008,3.64571e-008,4.98667e-008,5.1473e-008,5.24508e-008,
158,1.38146e-007,1.50159e-008,4.00889e-008,5.37778e-008,1.52324e-007,2.79365e-008,5.81778e-008,3.76444e-008,2.89143e-008,4.50476e-008,4.37905e-008,1.46876e-007,1.40451e-007,5.26603e-008,3.19873e-008,3.89016e-008,9.92445e-008,5.21714e-008,5.03556e-008,7.83619e-008,4.82603e-008,5.30794e-008,3.02413e-008,4.45587e-008,4.34413e-008,3.6527e-008,4.7981e-008,5.11937e-008,5.26603e-008,
159,1.39403e-007,1.48762e-008,4.0927e-008,5.53841e-008,1.65873e-007,2.68889e-008,5.90857e-008,4.51873e-008,2.86349e-008,4.65841e-008,4.53968e-008,1.48552e-007,1.42546e-007,5.34286e-008,3.26857e-008,3.98794e-008,1.01479e-007,5.36381e-008,4.81206e-008,3.64571e-008,4.77016e-008,5.16825e-008,3.01016e-008,4.36508e-008,4.29524e-008,3.71556e-008,4.72127e-008,5.15429e-008,5.29397e-008,
160,1.38775e-007,1.50159e-008,3.6946e-008,5.02159e-008,1.29416e-007,3.03111e-008,5.83175e-008,4.02984e-008,2.96127e-008,4.9727e-008,4.87492e-008,1.4939e-007,1.41498e-007,3.05905e-008,3.28254e-008,3.92508e-008,1.00292e-007,5.44064e-008,4.78413e-008,4.27429e-008,4.75619e-008,5.18222e-008,3.02413e-008,4.59556e-008,4.52572e-008,3.65968e-008,5.0146e-008,5.07746e-008,5.24508e-008,
161,1.4094e-007,1.50159e-008,3.92508e-008,5.24508e-008,1.33397e-007,3.09397e-008,5.91556e-008,4.1346e-008,3.01714e-008,5.1473e-008,4.76318e-008,1.51625e-007,1.43733e-007,3.11492e-008,3.35937e-008,4.06476e-008,1.03365e-007,5.57333e-008,4.88889e-008,4.23937e-008,4.83302e-008,5.22413e-008,3.02413e-008,4.46286e-008,4.35111e-008,3.68064e-008,4.80508e-008,5.09841e-008,5.31492e-008,
162,1.4101e-007,1.4946e-008,4.01587e-008,5.33587e-008,1.33257e-007,3.03111e-008,5.79683e-008,4.10667e-008,3.24064e-008,4.95873e-008,4.85397e-008,1.51695e-007,1.43664e-007,3.24762e-008,3.43619e-008,3.65968e-008,9.72191e-008,5.60127e-008,4.93778e-008,7.49397e-008,4.54667e-008,5.26603e-008,2.98222e-008,4.60952e-008,4.49778e-008,3.6946e-008,4.99365e-008,5.05651e-008,5.28698e-008,
163,1.42546e-007,1.48762e-008,4.08571e-008,5.51048e-008,1.31511e-007,3.17778e-008,5.83175e-008,4.14159e-008,3.28952e-008,5.08445e-008,4.95175e-008,1.53651e-007,1.57492e-007,3.33143e-008,3.52e-008,3.75048e-008,9.91746e-008,5.25206e-008,4.64445e-008,6.48825e-008,4.52571e-008,5.24508e-008,3.08e-008,4.4e-008,4.28127e-008,3.81333e-008,4.74222e-008,5.17524e-008,5.31492e-008,
164,1.43175e-007,1.4946e-008,3.6527e-008,4.95873e-008,1.34724e-007,3.16381e-008,6.00635e-008,4.24635e-008,3.74349e-008,5.18921e-008,5.07048e-008,1.5421e-007,1.44362e-007,3.48508e-008,3.63175e-008,3.98095e-008,1.0546e-007,5.33587e-008,4.74921e-008,4.87492e-008,4.58857e-008,5.2381e-008,3.04508e-008,4.47683e-008,4.3581e-008,3.74349e-008,4.84698e-008,5.14032e-008,5.33587e-008,
165,1.43454e-007,1.50159e-008,3.84825e-008,5.18222e-008,1.31441e-007,4.20444e-008,5.83873e-008,3.55492e-008,3.29651e-008,5.30794e-008,5.15429e-008,1.5421e-007,1.44711e-007,3.42921e-008,3.85524e-008,3.98095e-008,1.08394e-007,5.37778e-008,4.82603e-008,5.74095e-008,4.80508e-008,5.25905e-008,3.07302e-008,4.81206e-008,4.5327e-008,3.79937e-008,5.02857e-008,5.1473e-008,5.35683e-008,
166,1.44222e-007,1.50857e-008,4.05079e-008,5.62921e-008,1.35422e-007,3.24762e-008,6.28571e-008,3.84825e-008,3.56191e-008,5.39175e-008,5.31492e-008,1.54908e-007,1.4541e-007,3.56889e-008,3.86921e-008,4.23937e-008,1.06997e-007,5.4127e-008,4.82603e-008,6.53016e-008,4.88889e-008,5.28698e-008,3.08e-008,4.54667e-008,4.41397e-008,3.79238e-008,5.1473e-008,5.15429e-008,5.4127e-008,
167,1.44362e-007,1.48064e-008,4.10667e-008,5.51048e-008,1.39473e-007,3.40127e-008,6.01333e-008,3.65968e-008,3.40825e-008,5.51048e-008,5.39873e-008,1.55537e-007,1.45829e-007,3.62476e-008,4.00191e-008,4.1346e-008,1.0099e-007,5.39873e-008,4.9727e-008,5.86667e-008,4.5327e-008,5.21016e-008,3.04508e-008,4.43492e-008,4.30921e-008,3.7854e-008,4.76318e-008,5.16825e-008,5.32889e-008,
168,1.5386e-007,1.50159e-008,3.62476e-008,4.91683e-008,1.37657e-007,3.45016e-008,5.82476e-008,3.91111e-008,3.45016e-008,5.62921e-008,5.50349e-008,1.55956e-007,1.46317e-007,3.60381e-008,4.07873e-008,4.16952e-008,1.02667e-007,5.55238e-008,5.00064e-008,4.85397e-008,4.87492e-008,5.23111e-008,2.97524e-008,4.60254e-008,4.49079e-008,3.63873e-008,5.27302e-008,5.09143e-008,5.22413e-008,
169,1.4513e-007,1.4946e-008,3.86921e-008,5.09841e-008,1.46876e-007,3.44317e-008,5.90159e-008,3.86921e-008,3.52e-008,5.71302e-008,5.60825e-008,1.56235e-007,1.46457e-007,3.64571e-008,4.14159e-008,4.1346e-008,1.02527e-007,5.63619e-008,4.9727e-008,4.92381e-008,4.49079e-008,5.20318e-008,2.98921e-008,4.33016e-008,4.2254e-008,3.68064e-008,4.69333e-008,5.06349e-008,5.21714e-008,
170,1.47924e-007,1.45968e-008,3.94603e-008,5.28e-008,1.42197e-007,3.64571e-008,6.14603e-008,3.97397e-008,3.54095e-008,5.90159e-008,5.74095e-008,1.57562e-007,1.59727e-007,3.81333e-008,3.96e-008,4.26032e-008,1.0539e-007,5.55937e-008,5.0146e-008,6.0273e-008,4.59556e-008,5.30095e-008,3.01714e-008,4.6654e-008,4.55365e-008,3.68064e-008,5.32889e-008,4.88191e-008,5.28e-008,
171,1.45898e-007,1.50857e-008,4.03683e-008,5.30794e-008,1.60495e-007,3.71556e-008,5.83873e-008,3.88318e-008,3.60381e-008,5.90159e-008,5.77587e-008,1.55467e-007,1.47156e-007,3.86222e-008,4.04381e-008,4.34413e-008,9.78476e-008,5.69905e-008,4.98667e-008,5.78984e-008,4.52571e-008,5.2381e-008,2.96825e-008,4.33714e-008,4.2254e-008,3.68762e-008,4.65841e-008,5.07048e-008,5.25206e-008,
172,1.48552e-007,1.48064e-008,3.61079e-008,5.03556e-008,1.21105e-007,3.76445e-008,6.23683e-008,4.18349e-008,3.68762e-008,6.07619e-008,5.96445e-008,1.57981e-007,1.4974e-007,3.96698e-008,4.08571e-008,4.90286e-008,9.79175e-008,5.30794e-008,4.82603e-008,7.02603e-008,4.58159e-008,5.26603e-008,2.97524e-008,4.63048e-008,4.48381e-008,3.65968e-008,4.98667e-008,5.06349e-008,5.25905e-008,
173,1.50298e-007,1.4946e-008,3.87619e-008,5.18921e-008,1.21384e-007,4.08571e-008,6.20191e-008,4.07175e-008,3.7854e-008,6.22286e-008,6.1181e-008,1.60286e-007,1.51486e-007,4.0927e-008,4.2254e-008,4.40698e-008,1.01689e-007,5.56635e-008,4.94476e-008,6.34857e-008,4.42095e-008,5.32191e-008,3.07302e-008,4.49079e-008,4.36508e-008,3.7854e-008,4.83302e-008,5.19619e-008,5.34984e-008,
174,1.56305e-007,1.48762e-008,4.02286e-008,5.39873e-008,1.26133e-007,3.92508e-008,6.22984e-008,4.05778e-008,3.93206e-008,6.30667e-008,6.53714e-008,1.73975e-007,1.51556e-007,4.19048e-008,4.33016e-008,4.88191e-008,1.02387e-007,5.83175e-008,5.04952e-008,7.46603e-008,4.61651e-008,5.35683e-008,3.06603e-008,4.4e-008,4.44889e-008,3.75746e-008,4.63048e-008,6.13206e-008,5.21016e-008,
175,1.59378e-007,1.48762e-008,4.09968e-008,5.78984e-008,1.28508e-007,4.01587e-008,5.76191e-008,4.08571e-008,3.92508e-008,6.44635e-008,6.3346e-008,1.54349e-007,1.52952e-007,4.37905e-008,4.38603e-008,4.93079e-008,1.03016e-007,5.55937e-008,5.09143e-008,4.95873e-008,4.50476e-008,5.21714e-008,3.03111e-008,4.49778e-008,4.65143e-008,3.79937e-008,4.84e-008,5.17524e-008,5.37778e-008,
176,1.53651e-007,1.50159e-008,3.66667e-008,5.04952e-008,1.3654e-007,4.1346e-008,6.71175e-008,4.40698e-008,4.05778e-008,6.6e-008,6.47429e-008,1.56654e-007,1.54908e-007,4.16254e-008,4.50476e-008,5.08445e-008,1.0553e-007,5.68508e-008,5.24508e-008,6.29968e-008,4.60254e-008,5.31492e-008,3.02413e-008,4.36508e-008,4.24635e-008,3.6946e-008,4.73524e-008,5.13333e-008,5.29397e-008,
177,1.51625e-007,1.54349e-008,3.89016e-008,5.22413e-008,1.33048e-007,4.15556e-008,6.23683e-008,4.33016e-008,4.05778e-008,6.61397e-008,6.49524e-008,1.54349e-007,1.52813e-007,4.15556e-008,4.5327e-008,5.02857e-008,1.1447e-007,5.65714e-008,5.16825e-008,6.68381e-008,4.49079e-008,5.2381e-008,3.03111e-008,4.5746e-008,4.47683e-008,3.68064e-008,4.9727e-008,5.11238e-008,5.21714e-008,
178,1.54489e-007,1.51556e-008,4.02984e-008,5.38476e-008,1.34724e-007,4.28825e-008,6.16698e-008,4.30222e-008,4.17651e-008,6.79556e-008,6.66286e-008,1.57003e-007,1.55746e-007,4.32318e-008,4.61651e-008,5.25206e-008,1.06438e-007,6.26476e-008,5.21016e-008,8.02476e-008,4.60254e-008,5.30794e-008,3.02413e-008,4.60952e-008,4.49778e-008,3.6946e-008,5.29397e-008,5.14032e-008,5.30794e-008,
179,1.60844e-007,1.50857e-008,8.07365e-008,5.53143e-008,1.34235e-007,4.31619e-008,6.30667e-008,4.4e-008,4.23937e-008,6.8654e-008,6.76064e-008,1.65733e-007,1.55187e-007,4.34413e-008,4.6654e-008,5.25206e-008,1.06997e-007,5.78286e-008,5.22413e-008,5.83873e-008,4.5746e-008,5.25206e-008,3.00317e-008,4.62349e-008,4.49778e-008,3.70159e-008,4.99365e-008,5.09841e-008,5.51048e-008,
180,1.55257e-007,1.52254e-008,3.84825e-008,5.00064e-008,1.34025e-007,4.44191e-008,6.39746e-008,3.68064e-008,4.28825e-008,6.9981e-008,6.87937e-008,1.70902e-007,1.56375e-007,4.44889e-008,4.78413e-008,4.14857e-008,1.07206e-007,6.01333e-008,5.23111e-008,5.53841e-008,4.61651e-008,5.28698e-008,3.05206e-008,4.63746e-008,4.51873e-008,3.89016e-008,4.99365e-008,5.14032e-008,5.30095e-008,
181,1.54419e-007,1.54349e-008,3.86222e-008,5.23111e-008,1.34305e-007,4.43492e-008,6.18794e-008,4.01587e-008,4.36508e-008,7.04699e-008,6.93524e-008,1.56933e-007,1.55606e-007,4.46984e-008,4.7981e-008,4.56762e-008,1.11257e-007,6.27175e-008,5.47556e-008,6.24381e-008,4.50476e-008,5.27302e-008,3.03111e-008,4.28127e-008,4.21143e-008,3.90413e-008,4.63746e-008,5.11238e-008,5.26603e-008,
182,1.57352e-007,1.50857e-008,4.04381e-008,5.38476e-008,1.38844e-007,4.45587e-008,6.62095e-008,3.90413e-008,4.44889e-008,7.63365e-008,8.9327e-008,1.7139e-007,1.5854e-007,4.63048e-008,4.91683e-008,4.6654e-008,1.09511e-007,6.27873e-008,5.85968e-008,7.38222e-008,4.65841e-008,5.34984e-008,3.01016e-008,4.38603e-008,4.23937e-008,3.89714e-008,4.70032e-008,5.37778e-008,5.30794e-008,
183,1.59238e-007,1.48064e-008,4.18349e-008,5.5454e-008,1.41708e-007,4.69333e-008,6.49524e-008,3.97397e-008,4.54667e-008,7.36826e-008,7.29143e-008,1.61892e-007,1.60495e-007,4.62349e-008,5.04254e-008,4.59556e-008,1.14051e-007,6.41841e-008,5.85968e-008,5.09841e-008,5.6781e-008,5.25905e-008,3.02413e-008,4.49079e-008,4.3581e-008,3.70159e-008,4.84e-008,5.13333e-008,5.35683e-008,
184,1.57841e-007,1.52254e-008,3.71556e-008,5.08445e-008,1.43803e-007,4.62349e-008,6.2927e-008,4.02984e-008,4.58857e-008,7.42413e-008,7.31238e-008,1.61054e-007,1.59098e-007,4.65841e-008,5.04952e-008,4.67937e-008,1.09441e-007,6.60698e-008,6.1181e-008,7.2146e-008,4.63746e-008,5.26603e-008,3.02413e-008,4.67937e-008,4.52571e-008,3.67365e-008,5.00762e-008,5.07746e-008,5.29397e-008,
185,1.71181e-007,1.55048e-008,3.86921e-008,5.16127e-008,1.40451e-007,4.70032e-008,6.45333e-008,4.16254e-008,4.68635e-008,7.50794e-008,7.39619e-008,1.58679e-007,1.58959e-007,4.77714e-008,5.09841e-008,4.68635e-008,1.11886e-007,6.53714e-008,6.12508e-008,5.62222e-008,4.51175e-008,5.28698e-008,3.01714e-008,4.41397e-008,4.29524e-008,3.63873e-008,4.72825e-008,5.34984e-008,5.28e-008,
186,1.61752e-007,1.4946e-008,4.06476e-008,5.40571e-008,1.47435e-007,2.64698e-008,6.3346e-008,4.19746e-008,2.7727e-008,7.75238e-008,7.64064e-008,1.70971e-007,1.6294e-007,4.94476e-008,3.17079e-008,4.86794e-008,1.13492e-007,6.57206e-008,6.23683e-008,6.02032e-008,4.63048e-008,5.42667e-008,3.01016e-008,4.49079e-008,4.4e-008,3.68064e-008,4.86794e-008,5.46159e-008,5.32889e-008,
187,1.59308e-007,1.53651e-008,4.10667e-008,5.41968e-008,1.56864e-007,2.88444e-008,7.01206e-008,4.24635e-008,2.92635e-008,7.73143e-008,7.62667e-008,1.60565e-007,1.60914e-007,4.82603e-008,3.10794e-008,4.54667e-008,1.11257e-007,6.49524e-008,6.20191e-008,4.79111e-008,5.30095e-008,6.27175e-008,3.05206e-008,4.59556e-008,4.49778e-008,3.67365e-008,4.93778e-008,5.36381e-008,5.25905e-008,
188,1.57771e-007,1.55746e-008,3.63175e-008,4.99365e-008,1.19219e-007,2.87048e-008,6.06921e-008,4.02286e-008,2.92635e-008,7.73841e-008,7.66159e-008,1.59238e-007,1.60565e-007,4.98667e-008,3.17079e-008,4.58857e-008,1.13352e-007,6.62794e-008,6.11111e-008,7.15873e-008,4.56064e-008,5.25206e-008,3.00317e-008,4.28825e-008,4.17651e-008,3.65968e-008,4.60952e-008,5.30095e-008,5.20318e-008,
189,1.61613e-007,1.50159e-008,3.84825e-008,5.35683e-008,1.25714e-007,2.93333e-008,6.0273e-008,4.48381e-008,3.01714e-008,2.20698e-008,7.89206e-008,1.63429e-007,1.64337e-007,5.03556e-008,3.29651e-008,4.24635e-008,1.04133e-007,6.57905e-008,6.32762e-008,5.96445e-008,4.54667e-008,5.32191e-008,3.03111e-008,4.62349e-008,4.51175e-008,3.68064e-008,5.00762e-008,5.42667e-008,5.31492e-008,
190,1.60705e-007,1.51556e-008,3.96698e-008,5.27302e-008,1.24178e-007,3.01714e-008,6.41841e-008,4.37905e-008,3.05206e-008,2.38857e-008,7.92e-008,1.61892e-007,1.63498e-007,5.03556e-008,3.3454e-008,4.47683e-008,1.03994e-007,5.72e-008,5.28698e-008,6.18794e-008,4.65143e-008,5.37079e-008,2.98222e-008,4.40698e-008,4.30921e-008,3.63873e-008,4.7981e-008,5.37079e-008,5.32889e-008,
191,1.63359e-007,1.48762e-008,4.08571e-008,5.43365e-008,1.26902e-007,3.23365e-008,6.71873e-008,4.75619e-008,3.17778e-008,2.40254e-008,7.36127e-008,1.64756e-007,1.66152e-007,5.20318e-008,3.42222e-008,4.55365e-008,1.0567e-007,5.88762e-008,5.4127e-008,3.66667e-008,4.51175e-008,5.48952e-008,3.03111e-008,4.4e-008,4.28127e-008,3.89714e-008,4.75619e-008,5.44762e-008,5.62222e-008,
192,1.64686e-007,1.52952e-008,3.68064e-008,5.07746e-008,1.2774e-007,3.2127e-008,6.67683e-008,4.86794e-008,3.08698e-008,2.48635e-008,7.47302e-008,1.65943e-007,1.67479e-007,3.03111e-008,3.52e-008,4.79111e-008,1.08184e-007,5.85968e-008,5.51746e-008,5.38476e-008,4.59556e-008,5.21714e-008,3.03111e-008,4.46984e-008,4.37905e-008,3.92508e-008,4.84e-008,5.42667e-008,5.30794e-008,
193,1.73206e-007,1.50857e-008,3.89714e-008,5.23111e-008,1.28787e-007,3.19175e-008,6.57905e-008,4.44191e-008,3.20571e-008,2.4654e-008,7.50095e-008,1.65733e-007,1.672e-007,3.06603e-008,3.58984e-008,4.72127e-008,1.07486e-007,6.08318e-008,6.0273e-008,4.20444e-008,4.52571e-008,5.48254e-008,3.03111e-008,4.45587e-008,4.35111e-008,3.6946e-008,4.76318e-008,5.46159e-008,5.36381e-008,
194,1.66013e-007,1.51556e-008,4.00191e-008,5.35683e-008,1.30254e-007,3.23365e-008,6.85841e-008,4.5327e-008,3.28254e-008,2.62603e-008,7.60572e-008,1.76908e-007,1.68876e-007,3.17079e-008,3.63175e-008,4.82603e-008,1.08883e-007,6.13206e-008,5.96445e-008,6.67683e-008,4.56064e-008,5.29397e-008,3.01016e-008,4.58857e-008,4.49778e-008,3.72254e-008,4.81206e-008,5.42667e-008,5.36381e-008,
195,1.72508e-007,1.55048e-008,4.0927e-008,5.46857e-008,1.29346e-007,3.21968e-008,7.05397e-008,4.00191e-008,4.02286e-008,2.70984e-008,7.6546e-008,1.6734e-007,1.68946e-007,3.2546e-008,3.63175e-008,4.7981e-008,1.10489e-007,6.18095e-008,5.62921e-008,7.81524e-008,4.51873e-008,5.21714e-008,3.0381e-008,4.35111e-008,4.21143e-008,3.66667e-008,4.65841e-008,5.38476e-008,5.58032e-008,
