Repeat-100 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2048,1.17252e-008,6.21329e-008,1.40213e-008,1.40169e-008,1.45774e-008,1.34982e-008,1.38659e-008,9.76786e-009,9.89686e-009,9.42592e-009,9.46817e-009,9.22233e-009,1.10154e-008,1.01528e-008,1.0024e-008,1.29515e-008,1.20867e-008,1.08319e-008,8.79455e-009,5.15582e-008,1.03154e-008,1.15889e-008,5.92501e-007,6.63368e-008,8.20579e-009,1.45192e-006,7.26106e-008,9.0186e-008,8.37467e-008,
4096,1.71511e-008,6.71181e-008,1.3975e-008,1.38377e-008,1.45488e-008,1.39649e-008,1.44884e-008,1.04774e-008,1.1134e-008,1.07918e-008,1.00423e-008,9.95734e-009,1.03927e-008,1.18331e-008,9.68419e-009,1.54726e-008,1.27234e-008,1.1647e-008,9.44212e-009,6.70917e-008,1.05483e-008,1.26624e-008,1.16518e-006,6.97419e-008,8.27438e-009,2.84642e-006,8.07411e-008,9.94918e-008,9.00841e-008,
8192,2.9865e-008,7.35977e-008,1.39904e-008,1.37297e-008,1.44711e-008,1.48243e-008,1.50319e-008,1.20936e-008,1.32944e-008,1.10816e-008,1.05244e-008,1.04767e-008,1.09432e-008,1.06592e-008,1.01709e-008,1.68968e-008,1.33342e-008,1.18841e-008,9.68224e-009,7.90805e-008,1.12958e-008,1.30446e-008,2.30273e-006,7.77334e-008,8.06248e-009,5.6655e-006,8.25414e-008,1.05906e-007,9.77221e-008,
16384,5.06485e-008,,1.46266e-008,1.42699e-008,1.49451e-008,1.48129e-008,1.57151e-008,1.42534e-008,1.69496e-008,1.46489e-008,1.23706e-008,1.22337e-008,1.22734e-008,1.0958e-008,1.07015e-008,1.87379e-008,1.45476e-008,1.23162e-008,1.03317e-008,8.62234e-008,1.18499e-008,1.31427e-008,4.55829e-006,7.86651e-008,8.57253e-009,1.12664e-005,8.27646e-008,1.08182e-007,1.04197e-007,
32768,9.4247e-008,,1.44691e-008,1.55497e-008,1.53029e-008,1.62725e-008,1.90829e-008,1.63258e-008,2.06838e-008,1.70023e-008,1.42348e-008,1.37347e-008,1.41625e-008,1.21574e-008,1.16295e-008,1.92092e-008,1.55337e-008,1.26446e-008,1.11591e-008,1.6178e-007,1.50731e-008,2.1766e-008,9.02691e-006,8.13397e-008,9.29329e-009,,8.39746e-008,1.10688e-007,1.01587e-007,
65536,3.724e-007,,,1.50631e-008,1.56772e-008,1.73901e-008,1.89124e-008,2.16404e-008,4.43144e-008,2.74314e-008,1.9356e-008,1.74075e-008,1.70812e-008,1.47925e-008,1.36299e-008,2.08669e-008,1.7799e-008,1.42483e-008,1.24909e-008,3.45762e-007,2.04092e-008,3.77457e-008,1.79038e-005,7.80088e-008,9.04431e-009,,8.34847e-008,1.08589e-007,9.89027e-008,
131072,9.11038e-007,,,,,,,2.95512e-008,6.52471e-008,4.02395e-008,2.60097e-008,2.01786e-008,2.10879e-008,1.57341e-008,1.59697e-008,2.21882e-008,2.03887e-008,1.55926e-008,1.41808e-008,3.73619e-007,2.17363e-008,4.30095e-008,,8.12452e-008,9.89972e-009,,8.61563e-008,1.17521e-007,1.04132e-007,
262144,1.99709e-006,,,,,,,3.84783e-008,9.85953e-008,5.52139e-008,3.4171e-008,2.56811e-008,2.43712e-008,1.94112e-008,2.07904e-008,2.59288e-008,2.44831e-008,1.89027e-008,1.79616e-008,4.29701e-007,2.30878e-008,4.6763e-008,,8.53909e-008,9.48766e-009,,9.57421e-008,1.19713e-007,1.11021e-007,
524288,4.21561e-006,,,,,,,6.28272e-008,1.478e-007,8.51564e-008,5.59656e-008,4.61262e-008,4.34722e-008,2.2629e-008,2.37476e-008,3.78269e-008,3.95003e-008,3.21581e-008,3.03341e-008,4.61076e-007,2.37865e-008,5.64366e-008,,9.48284e-008,9.43514e-009,,1.03477e-007,1.26751e-007,1.19163e-007,
1048576,8.64065e-006,,,,,,,3.83923e-007,1.06254e-006,5.96561e-007,3.66005e-007,1.46811e-007,8.64689e-008,3.07471e-008,3.08415e-008,4.85542e-008,5.36387e-008,4.24051e-008,4.03713e-008,4.9361e-007,2.5148e-008,5.50586e-008,,1.04739e-007,9.33324e-009,,1.13187e-007,1.32505e-007,1.32983e-007,
2097152,1.69542e-005,,,,,,,3.85438e-007,1.37904e-006,7.19096e-007,3.68693e-007,1.91201e-007,1.19801e-007,3.57147e-008,3.99143e-008,6.37601e-008,6.60634e-008,5.55872e-008,5.25979e-008,5.09832e-007,2.62334e-008,5.70547e-008,,1.11173e-007,9.22017e-009,,1.17842e-007,1.46963e-007,1.35806e-007,
4194304,,,,,,,,7.53187e-007,2.60568e-006,1.66272e-006,7.65412e-007,3.66494e-007,1.94729e-007,5.36646e-008,5.59072e-008,7.92484e-008,8.62236e-008,7.24461e-008,6.89554e-008,5.58917e-007,2.81872e-008,6.07031e-008,,1.07913e-007,1.00563e-008,,1.30949e-007,1.52761e-007,1.30624e-007,
8388608,,,,,,,,9.50187e-007,3.83559e-006,1.95735e-006,9.41436e-007,4.86575e-007,2.88555e-007,6.40827e-008,7.51412e-008,9.86044e-008,1.08215e-007,8.97185e-008,8.81004e-008,,,,,1.1044e-007,9.5223e-009,,1.20212e-007,1.46773e-007,1.33886e-007,
