Repeat-100 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.1822e-008,1.31825e-008,1.55399e-008,1.62306e-008,1.5455e-008,1.55154e-008,1.61842e-008,1.41592e-008,1.21481e-008,1.20277e-008,1.21751e-008,1.21123e-008,1.20566e-008,1.21249e-008,1.19205e-008,1.43809e-008,1.29323e-008,1.30385e-008,1.21265e-008,1.41019e-008,1.25055e-008,1.26017e-008,1.52899e-008,2.0503e-008,1.65722e-008,1.73799e-008,2.36328e-008,2.02075e-008,2.0235e-008,
4,9.95259e-009,1.3312e-008,1.48378e-008,1.47813e-008,1.52297e-008,1.48154e-008,1.48204e-008,1.15348e-008,1.07229e-008,1.16898e-008,1.11666e-008,1.07084e-008,1.12955e-008,1.16697e-008,1.12694e-008,1.43256e-008,1.20475e-008,1.16158e-008,1.06034e-008,1.49457e-008,1.10786e-008,1.11587e-008,2.10443e-008,3.01733e-008,1.24086e-008,2.56732e-008,3.57277e-008,3.48072e-008,3.45976e-008,
8,7.8327e-009,1.22871e-008,1.39777e-008,1.34208e-008,1.33596e-008,1.33477e-008,1.39205e-008,1.03556e-008,9.99247e-009,9.72114e-009,9.81354e-009,1.00673e-008,9.93024e-009,1.05668e-008,1.04859e-008,1.35651e-008,1.07797e-008,1.07891e-008,9.50631e-009,1.74555e-008,9.85984e-009,9.80991e-009,2.6886e-008,4.10032e-008,1.01722e-008,3.3788e-008,4.93271e-008,4.88602e-008,4.33248e-008,
16,6.99467e-009,1.13653e-008,1.35554e-008,1.35352e-008,1.30374e-008,1.34904e-008,1.35796e-008,9.8194e-009,9.29566e-009,9.38143e-009,9.40769e-009,9.2942e-009,9.43039e-009,9.78623e-009,9.25104e-009,1.25573e-008,1.07676e-008,1.08114e-008,9.20683e-009,1.90778e-008,1.04704e-008,9.40036e-009,3.09356e-008,4.33717e-008,8.6481e-009,4.3245e-008,5.40842e-008,6.17713e-008,4.88993e-008,
32,6.91834e-009,1.12648e-008,1.27453e-008,1.27344e-008,1.32734e-008,1.3795e-008,1.31873e-008,9.15752e-009,8.51875e-009,9.01441e-009,9.47264e-009,9.07853e-009,9.12595e-009,9.48542e-009,9.40539e-009,1.27235e-008,1.06867e-008,1.06514e-008,8.53391e-009,2.08162e-008,8.99961e-009,8.36671e-009,3.39774e-008,4.73348e-008,7.72836e-009,5.41575e-008,5.48147e-008,6.87874e-008,6.56127e-008,
64,8.03831e-009,1.16261e-008,1.34208e-008,1.34575e-008,1.35566e-008,1.34698e-008,1.33663e-008,9.77191e-009,9.37277e-009,9.32968e-009,9.37989e-009,9.34881e-009,9.41747e-009,9.71974e-009,9.60995e-009,1.26997e-008,1.06276e-008,1.05631e-008,9.19942e-009,2.32129e-008,9.23714e-009,8.62512e-009,4.51242e-008,4.91961e-008,8.89638e-009,7.92911e-008,5.81589e-008,7.04655e-008,6.44e-008,
128,7.10838e-009,1.1237e-008,1.28782e-008,1.29021e-008,1.28563e-008,1.27204e-008,1.28565e-008,9.17142e-009,9.04361e-009,9.0867e-009,9.01951e-009,9.49129e-009,9.60513e-009,1.06178e-008,1.0002e-008,1.27125e-008,1.07465e-008,1.07361e-008,8.84749e-009,2.533e-008,9.37801e-009,8.67464e-009,6.41525e-008,4.88915e-008,8.24714e-009,1.25535e-007,5.87047e-008,7.92396e-008,6.95005e-008,
256,7.40052e-009,1.25772e-008,1.34683e-008,1.35354e-008,1.40414e-008,1.38827e-008,1.35262e-008,9.218e-009,9.58704e-009,9.44568e-009,9.84434e-009,9.4586e-009,9.50435e-009,9.86222e-009,9.17805e-009,1.24122e-008,1.06487e-008,1.08617e-008,8.83911e-009,2.76933e-008,9.28777e-009,9.10353e-009,1.03474e-007,5.09922e-008,8.0886e-009,2.09796e-007,6.25341e-008,8.294e-008,7.58809e-008,
512,7.89695e-009,1.28935e-008,1.39708e-008,1.35653e-008,1.47028e-008,1.35885e-008,1.41568e-008,9.87213e-009,9.72994e-009,9.37542e-009,9.43276e-009,9.29154e-009,9.58299e-009,9.85356e-009,9.75487e-009,1.29904e-008,1.14149e-008,1.10343e-008,8.90812e-009,2.96627e-008,9.92151e-009,9.41006e-009,1.77628e-007,6.1854e-008,7.63498e-009,3.89677e-007,7.01403e-008,8.63527e-008,8.86168e-008,
1024,9.03034e-009,3.44165e-008,1.28709e-008,1.30187e-008,1.38169e-008,1.3064e-008,1.3225e-008,9.47935e-009,9.58027e-009,9.16723e-009,1.03977e-008,9.16401e-009,9.12351e-009,9.66177e-009,8.89059e-009,1.26001e-008,1.13084e-008,1.07806e-008,8.98208e-009,4.08187e-008,1.00802e-008,1.11017e-008,3.18312e-007,6.107e-008,7.62297e-009,7.40607e-007,7.06262e-008,8.93562e-008,8.70877e-008,
