All ´a´ string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
411,3.4862e-007,1.60635e-008,4.24635e-008,5.4113e-008,1.60886e-007,4.80159e-008,1.29751e-007,7.11124e-008,4.43841e-008,5.62222e-008,4.95245e-008,1.54433e-007,3.46399e-007,5.68019e-008,4.42375e-008,3.49137e-008,1.11997e-007,5.12006e-008,4.36857e-008,5.26184e-008,5.412e-008,7.69022e-008,2.59439e-007,5.08514e-008,4.98806e-008,6.29724e-007,5.52095e-008,7.10775e-008,6.36743e-008,
412,3.46992e-007,1.59587e-008,4.26102e-008,5.41759e-008,1.63191e-007,4.79041e-008,1.31518e-007,7.14337e-008,4.58298e-008,5.74654e-008,5.07746e-008,1.59504e-007,3.47055e-007,5.81778e-008,4.43771e-008,3.55841e-008,1.07493e-007,5.21365e-008,4.42654e-008,8.26851e-008,5.46508e-008,7.77962e-008,2.60976e-007,5.09003e-008,4.98667e-008,6.34368e-007,5.30584e-008,6.94572e-008,6.23683e-008,
413,3.50771e-007,1.6294e-008,4.25194e-008,5.43435e-008,1.61243e-007,4.81905e-008,1.28613e-007,7.32076e-008,4.61302e-008,5.87575e-008,5.20178e-008,1.60516e-007,3.48082e-007,5.85829e-008,4.53479e-008,3.69181e-008,1.07639e-007,5.2786e-008,4.46356e-008,6.52178e-008,5.41479e-008,7.73283e-008,2.54585e-007,5.1054e-008,5.20387e-008,6.22125e-007,5.30165e-008,7.59384e-008,6.08597e-008,
414,3.51714e-007,1.66851e-008,4.26521e-008,5.54121e-008,1.59294e-007,4.91752e-008,1.22676e-007,7.61968e-008,4.80089e-008,5.98679e-008,5.32679e-008,1.61606e-007,3.48662e-007,5.96235e-008,4.58927e-008,3.33003e-008,1.10342e-007,5.32051e-008,4.6193e-008,8.20845e-008,5.5007e-008,7.82781e-008,2.56471e-007,5.08794e-008,5.20178e-008,6.21741e-007,5.324e-008,6.63422e-008,6.36673e-008,
415,3.51099e-007,1.6266e-008,4.24216e-008,5.40083e-008,1.56221e-007,5.04045e-008,1.33257e-007,7.10216e-008,4.90845e-008,6.18724e-008,5.44971e-008,1.62346e-007,3.49367e-007,6.34857e-008,4.72686e-008,3.49206e-008,1.19044e-007,4.81625e-008,4.36438e-008,3.61778e-008,5.33308e-008,7.27048e-008,2.60892e-007,5.08794e-008,4.98527e-008,6.1769e-007,5.32191e-008,7.48978e-008,6.22006e-008,
416,3.55764e-007,1.65594e-008,4.27918e-008,5.42527e-008,1.51199e-007,5.08375e-008,1.32475e-007,7.6127e-008,4.84279e-008,6.33251e-008,5.81568e-008,1.62954e-007,3.56267e-007,3.94184e-008,4.82533e-008,3.60591e-008,1.08163e-007,5.21854e-008,4.56902e-008,5.01111e-008,5.39594e-008,7.28584e-008,2.60508e-007,5.11238e-008,4.98876e-008,6.12857e-007,5.30445e-008,7.12032e-008,6.08667e-008,
417,3.57029e-007,1.52743e-008,4.71359e-008,5.44762e-008,1.5826e-007,5.33518e-008,1.25966e-007,7.50654e-008,5.06559e-008,6.44286e-008,5.70114e-008,1.55034e-007,3.49549e-007,4.08432e-008,4.81137e-008,3.69321e-008,1.12228e-007,5.36171e-008,4.60324e-008,4.45238e-008,5.36241e-008,7.27816e-008,2.62058e-007,4.81486e-008,4.98527e-008,6.10937e-007,5.5461e-008,7.01905e-008,6.36394e-008,
418,3.65871e-007,1.52114e-008,4.72895e-008,5.41549e-008,1.51053e-007,5.66064e-008,1.24946e-007,7.5666e-008,5.21714e-008,6.4694e-008,5.82756e-008,1.60104e-007,3.54179e-007,4.09898e-008,4.91613e-008,3.72114e-008,1.07192e-007,5.50559e-008,4.68216e-008,7.61689e-008,5.42457e-008,7.38362e-008,2.70649e-007,4.8421e-008,4.98108e-008,6.2568e-007,5.39035e-008,6.84933e-008,6.43727e-008,
419,3.50093e-007,1.53302e-008,4.78902e-008,5.3694e-008,1.4997e-007,5.34705e-008,1.39717e-007,7.42203e-008,5.46927e-008,6.59721e-008,5.94978e-008,1.61745e-007,3.59159e-007,4.15416e-008,5.1033e-008,3.80356e-008,1.07465e-007,5.53352e-008,4.70521e-008,7.94025e-008,5.35892e-008,7.29492e-008,2.6634e-007,4.82533e-008,5.08165e-008,6.05245e-007,5.30724e-008,6.75086e-008,6.08946e-008,
420,3.63657e-007,1.53371e-008,4.29384e-008,5.61105e-008,1.50543e-007,5.5447e-008,1.317e-007,6.73968e-008,5.07537e-008,6.74946e-008,6.07619e-008,1.56137e-007,3.5573e-007,4.29105e-008,5.09702e-008,3.78051e-008,1.15308e-007,5.62502e-008,4.87702e-008,6.46172e-008,5.42667e-008,7.35429e-008,2.68309e-007,4.82184e-008,4.99016e-008,6.1901e-007,5.31073e-008,7.23905e-008,6.37162e-008,
