All ´a´ string length 1000 by LCE value,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.72318e-009,3.67295e-008,1.92762e-008,1.91365e-008,1.77746e-008,1.48832e-008,1.46387e-008,1.53162e-008,1.38216e-008,1.46457e-008,1.38286e-008,1.38286e-008,1.38286e-008,1.98559e-008,1.79073e-008,1.83333e-008,1.79841e-008,2.77549e-008,1.75651e-008,3.78051e-008,1.76838e-008,1.84241e-008,4.47278e-007,5.22622e-008,5.51118e-008,1.06725e-006,5.97213e-008,7.24464e-008,6.36324e-008,
2,1.08394e-008,3.89854e-008,2.10641e-008,2.01422e-008,1.97302e-008,1.57003e-008,1.53302e-008,1.54768e-008,1.46038e-008,1.53302e-008,1.46038e-008,1.46038e-008,1.46108e-008,1.79422e-008,1.85987e-008,1.88502e-008,1.91016e-008,2.69448e-008,1.90946e-008,6.19911e-008,1.95625e-008,1.86756e-008,4.46796e-007,5.48952e-008,5.64108e-008,1.08099e-006,5.60406e-008,6.77391e-008,6.30946e-008,
3,1.04413e-008,3.68832e-008,2.27613e-008,2.23003e-008,2.10013e-008,1.62451e-008,1.61264e-008,1.64965e-008,1.53302e-008,1.61264e-008,1.53302e-008,1.53232e-008,1.53302e-008,1.99048e-008,2.03937e-008,2.00305e-008,2.05752e-008,2.79924e-008,1.74464e-008,7.75518e-008,2.29359e-008,2.52825e-008,4.42612e-007,5.4574e-008,5.62991e-008,1.03679e-006,5.59149e-008,6.5581e-008,6.97435e-008,
4,1.13492e-008,4.04381e-008,2.56806e-008,2.49822e-008,2.32152e-008,1.70692e-008,1.73067e-008,1.74743e-008,1.63848e-008,1.72857e-008,1.63848e-008,1.63917e-008,1.63848e-008,2.00514e-008,2.2e-008,2.11479e-008,2.25587e-008,2.89073e-008,1.84521e-008,4.9734e-008,2.34667e-008,2.79854e-008,4.44917e-007,5.46787e-008,5.64806e-008,1.04718e-006,5.60616e-008,7.37733e-008,6.47289e-008,
5,1.24317e-008,3.76095e-008,2.72521e-008,2.66025e-008,2.47029e-008,1.79562e-008,1.83962e-008,1.84241e-008,1.72578e-008,1.82076e-008,1.72648e-008,1.72648e-008,1.72578e-008,2.14552e-008,2.23702e-008,2.13365e-008,2.41302e-008,2.98781e-008,1.99397e-008,5.77727e-008,2.33968e-008,2.5527e-008,4.48004e-007,5.47206e-008,5.63898e-008,1.06254e-006,5.59987e-008,7.17689e-008,6.30876e-008,
6,1.38635e-008,3.75118e-008,2.92216e-008,2.77689e-008,2.68191e-008,1.83892e-008,1.94857e-008,1.9786e-008,1.85079e-008,1.95486e-008,1.85079e-008,1.85149e-008,1.85079e-008,2.25378e-008,2.37111e-008,2.16229e-008,2.58483e-008,3.08489e-008,2.0247e-008,6.93873e-008,2.37879e-008,2.84743e-008,4.45308e-007,5.46019e-008,5.65645e-008,1.03973e-006,5.61873e-008,7.04978e-008,6.57765e-008,
7,1.46946e-008,3.51441e-008,3.11143e-008,2.81181e-008,2.85581e-008,1.91225e-008,1.73765e-008,1.92483e-008,1.92552e-008,2.01911e-008,1.92552e-008,1.94717e-008,1.92622e-008,2.36343e-008,2.38997e-008,2.31873e-008,2.78876e-008,3.15124e-008,2.16089e-008,7.01975e-008,2.70495e-008,3.44318e-008,4.51356e-007,5.5e-008,5.4993e-008,1.04381e-006,5.94698e-008,6.94362e-008,6.5106e-008,
8,1.5833e-008,3.43898e-008,3.41524e-008,3.18756e-008,3.08419e-008,2.00514e-008,1.87524e-008,1.9793e-008,1.98e-008,2.10921e-008,1.98e-008,2.30756e-008,1.98e-008,2.51568e-008,2.85511e-008,2.35575e-008,3.01575e-008,3.24064e-008,2.23702e-008,5.20806e-008,2.75035e-008,3.48368e-008,4.19069e-007,5.44692e-008,5.3254e-008,1.06508e-006,5.69346e-008,6.83816e-008,6.34508e-008,
9,1.6734e-008,3.41803e-008,3.80775e-008,3.76235e-008,3.34121e-008,2.92914e-008,1.94717e-008,2.07359e-008,2.07289e-008,2.21327e-008,2.07359e-008,2.45283e-008,2.07429e-008,2.53803e-008,3.1701e-008,2.02051e-008,4.35181e-008,3.32514e-008,2.48286e-008,5.9854e-008,2.82089e-008,3.24203e-008,4.46384e-007,5.4553e-008,5.33168e-008,1.07512e-006,5.59498e-008,7.93467e-008,6.62864e-008,
10,2.66933e-008,3.41105e-008,3.83568e-008,4.08711e-008,3.46343e-008,2.22095e-008,2.05822e-008,2.77968e-008,2.80902e-008,2.97524e-008,2.80902e-008,2.92146e-008,3.00038e-008,2.59949e-008,3.19733e-008,2.08686e-008,4.33924e-008,3.11981e-008,2.34806e-008,6.74667e-008,2.82857e-008,3.28952e-008,4.41774e-007,5.47276e-008,5.79822e-008,1.09559e-006,5.58241e-008,7.0854e-008,6.48825e-008,
11,1.95276e-008,3.90343e-008,3.94883e-008,4.01308e-008,3.67016e-008,2.35784e-008,2.15321e-008,2.27822e-008,2.27822e-008,2.30546e-008,2.27822e-008,2.32432e-008,2.32432e-008,2.772e-008,2.84044e-008,2.12248e-008,4.41257e-008,3.25321e-008,2.288e-008,6.44076e-008,2.79644e-008,3.23994e-008,4.42256e-007,5.45949e-008,5.35333e-008,1.08541e-006,5.59079e-008,6.97365e-008,6.46521e-008,
12,2.04356e-008,3.90413e-008,4.05848e-008,4.32318e-008,3.82451e-008,2.3746e-008,2.25098e-008,2.21117e-008,2.21187e-008,2.42838e-008,2.21187e-008,2.1993e-008,2.21816e-008,2.86489e-008,3.27835e-008,2.22584e-008,4.47194e-008,3.39848e-008,2.77619e-008,7.10286e-008,2.82997e-008,3.28673e-008,4.48032e-007,5.48883e-008,5.33867e-008,1.07802e-006,5.62711e-008,6.83327e-008,6.64191e-008,
13,2.13644e-008,3.36495e-008,4.15765e-008,4.58368e-008,4.02705e-008,2.39835e-008,2.32711e-008,2.26425e-008,2.26356e-008,2.38578e-008,2.26356e-008,2.26356e-008,2.42489e-008,3.1701e-008,3.32025e-008,2.33549e-008,4.51384e-008,3.72743e-008,2.94381e-008,6.98133e-008,2.87117e-008,3.27625e-008,4.45944e-007,5.44064e-008,5.3226e-008,1.07507e-006,5.58032e-008,6.7313e-008,6.49803e-008,
14,2.25168e-008,3.43759e-008,4.0047e-008,4.54876e-008,4.12552e-008,2.46191e-008,1.892e-008,2.36273e-008,2.36273e-008,2.47727e-008,2.36343e-008,2.36343e-008,2.36343e-008,3.00876e-008,2.91797e-008,2.36552e-008,4.61092e-008,3.55771e-008,2.48705e-008,7.53029e-008,2.86e-008,3.32375e-008,4.37702e-007,5.47346e-008,5.33168e-008,1.0326e-006,5.61524e-008,6.60559e-008,6.36743e-008,
15,2.31454e-008,3.35867e-008,4.01797e-008,4.33365e-008,4.17232e-008,2.56597e-008,2.07917e-008,1.67689e-008,2.42349e-008,2.55479e-008,2.42279e-008,2.42349e-008,2.42349e-008,3.09956e-008,3.26019e-008,2.39765e-008,4.65562e-008,3.68343e-008,2.6421e-008,5.192e-008,3.16381e-008,4.23727e-008,4.44449e-007,5.44832e-008,5.44133e-008,1.07416e-006,5.59638e-008,7.75657e-008,6.66286e-008,
16,2.39276e-008,3.36006e-008,4.06406e-008,4.68146e-008,4.34483e-008,2.64559e-008,2.20559e-008,1.76629e-008,2.51289e-008,2.67283e-008,2.65397e-008,2.51289e-008,2.60229e-008,3.17917e-008,3.23994e-008,2.49892e-008,4.82883e-008,3.75187e-008,2.69168e-008,5.09213e-008,3.20571e-008,4.0941e-008,4.25676e-007,5.44343e-008,5.53911e-008,1.02998e-006,5.60476e-008,7.05048e-008,6.48895e-008,
17,2.44025e-008,3.43619e-008,4.05498e-008,5.1466e-008,4.57181e-008,2.72381e-008,2.26705e-008,1.85568e-008,2.70565e-008,2.73917e-008,2.596e-008,2.596e-008,2.596e-008,3.26159e-008,3.32305e-008,2.58483e-008,4.98946e-008,3.79448e-008,2.79505e-008,7.15384e-008,3.18197e-008,3.85803e-008,4.16883e-007,5.44413e-008,5.31492e-008,1.01572e-006,5.88483e-008,6.93384e-008,6.33321e-008,
18,2.56108e-008,3.41035e-008,4.1807e-008,5.10889e-008,4.71987e-008,2.83905e-008,2.38019e-008,1.94229e-008,2.89702e-008,2.86489e-008,2.71403e-008,2.71403e-008,2.71403e-008,3.31956e-008,3.44597e-008,2.21327e-008,4.57111e-008,4.11016e-008,2.87886e-008,7.2181e-008,3.21689e-008,3.93206e-008,4.14955e-007,5.43156e-008,5.31841e-008,1.01588e-006,5.88692e-008,6.82349e-008,6.62025e-008,
19,2.74756e-008,3.33562e-008,4.03962e-008,5.2381e-008,4.90984e-008,2.89771e-008,2.40952e-008,2.01422e-008,2.83206e-008,2.98851e-008,3.16521e-008,2.83276e-008,2.94171e-008,3.40686e-008,3.52838e-008,2.34806e-008,4.94616e-008,3.14356e-008,2.63791e-008,7.09168e-008,3.18686e-008,3.88667e-008,4.24719e-007,5.45251e-008,5.33518e-008,1.02278e-006,5.90857e-008,6.72502e-008,6.49035e-008,
20,2.67352e-008,3.35867e-008,4.14787e-008,5.52305e-008,5.05302e-008,2.97733e-008,2.43676e-008,2.09454e-008,2.9501e-008,3.11352e-008,3.48368e-008,2.96895e-008,2.9501e-008,3.48927e-008,3.51581e-008,2.63441e-008,5.01181e-008,3.31746e-008,2.8146e-008,6.43168e-008,3.23994e-008,3.93695e-008,4.24844e-007,5.4567e-008,5.34006e-008,1.03427e-006,5.90368e-008,7.18387e-008,6.47708e-008,
21,2.75943e-008,3.39568e-008,4.04241e-008,5.57962e-008,5.22692e-008,3.07232e-008,2.156e-008,2.17695e-008,3.06883e-008,3.23854e-008,3.52279e-008,3.50044e-008,3.08838e-008,3.70578e-008,3.75397e-008,2.62952e-008,5.07746e-008,3.42571e-008,2.91727e-008,6.6447e-008,3.20502e-008,4.12832e-008,4.18272e-007,5.43994e-008,5.31562e-008,1.04332e-006,5.88413e-008,7.04559e-008,6.62025e-008,
22,3.05556e-008,3.62895e-008,4.06895e-008,5.03346e-008,5.72e-008,3.19803e-008,2.288e-008,2.29429e-008,3.18825e-008,3.36425e-008,3.26997e-008,3.35937e-008,3.18825e-008,3.58006e-008,3.86013e-008,2.52616e-008,5.16756e-008,3.52698e-008,2.96127e-008,7.65181e-008,3.24902e-008,4.06965e-008,4.10653e-007,5.456e-008,5.33448e-008,1.03411e-006,5.88692e-008,6.94222e-008,6.48406e-008,
23,2.92286e-008,3.66108e-008,4.11365e-008,5.61035e-008,5.50489e-008,3.32165e-008,2.35575e-008,2.47517e-008,3.30559e-008,3.61079e-008,3.30629e-008,3.30698e-008,3.53257e-008,3.71276e-008,3.91321e-008,2.58064e-008,5.26324e-008,3.60451e-008,3.01575e-008,4.95594e-008,3.18895e-008,4.27987e-008,4.2254e-007,5.43714e-008,5.3233e-008,1.02128e-006,5.88972e-008,7.2614e-008,6.59721e-008,
24,3.00387e-008,3.36356e-008,4.05429e-008,5.71791e-008,5.67251e-008,3.71416e-008,2.464e-008,3.22806e-008,3.64013e-008,3.61568e-008,3.42641e-008,3.42571e-008,3.44806e-008,3.79867e-008,3.67086e-008,2.67003e-008,5.27022e-008,3.65829e-008,3.06254e-008,7.32845e-008,3.2113e-008,4.10806e-008,4.19963e-007,5.42108e-008,5.30445e-008,1.01391e-006,5.87295e-008,6.73759e-008,6.61537e-008,
25,3.42851e-008,3.3007e-008,4.06057e-008,5.57264e-008,5.84921e-008,3.38591e-008,2.47378e-008,2.7301e-008,3.96768e-008,3.74e-008,3.54375e-008,3.54375e-008,3.54514e-008,3.92997e-008,3.72533e-008,2.76362e-008,5.38895e-008,3.82032e-008,3.09327e-008,6.28292e-008,3.19524e-008,3.70159e-008,4.11463e-007,5.42387e-008,5.33238e-008,1.00834e-006,5.90508e-008,7.14825e-008,6.47149e-008,
26,4.01448e-008,3.33073e-008,4.04102e-008,5.55937e-008,5.98679e-008,3.52629e-008,2.61835e-008,2.58622e-008,3.66248e-008,3.86571e-008,3.66248e-008,4.11225e-008,3.66248e-008,3.96629e-008,3.79587e-008,2.80343e-008,5.62013e-008,3.77003e-008,3.12051e-008,7.01975e-008,3.23854e-008,3.71695e-008,4.10345e-007,5.43645e-008,5.31003e-008,1.04893e-006,5.57822e-008,6.98762e-008,6.35067e-008,
27,3.78121e-008,3.31676e-008,4.05918e-008,5.48883e-008,6.18864e-008,3.62267e-008,2.71892e-008,2.69937e-008,3.80216e-008,4.01587e-008,3.78121e-008,4.06406e-008,3.80356e-008,4.03124e-008,3.86641e-008,2.47587e-008,5.12495e-008,3.85524e-008,3.15822e-008,5.26114e-008,3.22597e-008,3.70229e-008,4.36466e-007,5.43016e-008,5.30654e-008,1.06264e-006,5.57124e-008,6.83676e-008,6.63632e-008,
28,3.432e-008,3.2986e-008,4.04521e-008,5.37149e-008,6.37791e-008,3.76794e-008,2.38089e-008,3.13727e-008,3.90064e-008,4.11644e-008,3.90064e-008,4.1374e-008,4.12552e-008,4.15905e-008,3.98724e-008,2.63371e-008,5.40711e-008,3.40965e-008,2.84114e-008,8.41168e-008,3.256e-008,3.72533e-008,4.37304e-007,5.44064e-008,5.30514e-008,1.07083e-006,5.6753e-008,6.76413e-008,6.50641e-008,
29,3.38381e-008,3.29232e-008,4.33505e-008,5.95886e-008,6.85143e-008,3.86013e-008,2.51568e-008,3.27975e-008,4.01867e-008,4.24076e-008,4.01867e-008,4.32597e-008,4.24356e-008,4.19886e-008,4.06337e-008,2.65816e-008,5.49092e-008,4.06127e-008,2.98432e-008,6.50152e-008,3.2553e-008,3.71905e-008,4.33568e-007,5.46229e-008,5.39245e-008,1.00288e-006,5.5866e-008,6.63562e-008,6.34718e-008,
30,3.54444e-008,3.28184e-008,4.29314e-008,6.12159e-008,7.0386e-008,3.98025e-008,2.56038e-008,1.80679e-008,4.1381e-008,4.36787e-008,4.1381e-008,4.1374e-008,4.36787e-008,4.34971e-008,4.39581e-008,2.76571e-008,5.60756e-008,3.60521e-008,3.07022e-008,7.67486e-008,3.3433e-008,3.75048e-008,4.31214e-007,5.41759e-008,5.32679e-008,1.05606e-006,5.56356e-008,7.16013e-008,6.6021e-008,
31,3.54165e-008,3.28324e-008,4.1381e-008,5.87435e-008,7.16641e-008,1.4499e-008,2.68959e-008,1.95905e-008,1.65803e-008,4.49219e-008,4.25613e-008,4.59765e-008,4.49848e-008,4.28825e-008,2.07708e-008,2.80762e-008,5.84711e-008,3.75746e-008,3.124e-008,3.48368e-008,3.63244e-008,4.21632e-008,4.36871e-007,5.52095e-008,5.31003e-008,1.07445e-006,5.56845e-008,7.05187e-008,6.49664e-008,
32,3.63733e-008,3.32165e-008,4.0494e-008,5.632e-008,7.10775e-008,1.63917e-008,2.60019e-008,2.05752e-008,1.76559e-008,4.61651e-008,4.37416e-008,4.68146e-008,4.61651e-008,2.22514e-008,2.11479e-008,3.25181e-008,5.75632e-008,3.76235e-008,3.22597e-008,5.13822e-008,3.70229e-008,4.22749e-008,4.35789e-007,5.42178e-008,5.29956e-008,1.05831e-006,5.56006e-008,6.91568e-008,6.36464e-008,
33,3.71625e-008,3.31118e-008,4.048e-008,5.52724e-008,7.09238e-008,1.72578e-008,2.81041e-008,2.13575e-008,1.87454e-008,4.74222e-008,4.49359e-008,5.33727e-008,4.74292e-008,2.32502e-008,2.13295e-008,3.47321e-008,5.81918e-008,3.89365e-008,3.25111e-008,4.0061e-008,3.6541e-008,4.58019e-008,4.33665e-007,5.4134e-008,5.30375e-008,1.04992e-006,5.55867e-008,7.40038e-008,6.6014e-008,
34,3.76933e-008,3.4327e-008,4.03683e-008,5.40362e-008,7.25302e-008,1.76698e-008,2.85092e-008,2.21746e-008,2.05613e-008,4.86654e-008,4.61022e-008,4.61092e-008,4.91054e-008,2.44025e-008,2.28451e-008,3.03111e-008,5.89949e-008,3.98165e-008,3.37403e-008,7.32984e-008,3.72394e-008,4.268e-008,4.28784e-007,5.4141e-008,5.31981e-008,1.04146e-006,6.11949e-008,6.6e-008,6.4666e-008,
35,3.95791e-008,3.41524e-008,4.02495e-008,5.88064e-008,7.59524e-008,1.85638e-008,2.50451e-008,2.30686e-008,2.14762e-008,5.01251e-008,4.81206e-008,4.81625e-008,6.05733e-008,2.48356e-008,2.79086e-008,3.07511e-008,6.1593e-008,4.02775e-008,3.35867e-008,6.98483e-008,3.65829e-008,4.2673e-008,4.16044e-007,5.4113e-008,5.52235e-008,1.02669e-006,6.04406e-008,7.09727e-008,6.31784e-008,
36,3.97048e-008,3.42152e-008,4.0487e-008,6.13137e-008,7.9626e-008,2.30756e-008,2.68959e-008,2.30197e-008,2.23073e-008,5.11657e-008,4.84908e-008,4.87073e-008,5.12006e-008,2.59879e-008,2.98641e-008,2.65956e-008,5.56006e-008,4.14229e-008,3.41943e-008,6.556e-008,3.73581e-008,4.28965e-008,4.09905e-007,5.41479e-008,5.29048e-008,9.89993e-007,5.55587e-008,6.97156e-008,6.63073e-008,
37,4.02984e-008,3.3454e-008,4.03752e-008,5.96864e-008,7.69581e-008,2.13016e-008,2.71892e-008,2.34527e-008,2.32851e-008,5.24159e-008,4.96711e-008,5.15079e-008,5.24648e-008,2.66444e-008,2.67632e-008,2.86279e-008,5.92952e-008,3.59962e-008,3.04787e-008,6.46451e-008,3.70927e-008,4.27568e-008,4.11693e-007,5.4127e-008,5.29118e-008,1.03702e-006,5.55238e-008,7.14686e-008,6.46241e-008,
38,4.11295e-008,3.36914e-008,4.04171e-008,5.81359e-008,8.03664e-008,2.22235e-008,2.87746e-008,2.44444e-008,2.39137e-008,5.3673e-008,5.08584e-008,5.64946e-008,5.39245e-008,2.82159e-008,3.31816e-008,2.86629e-008,5.92533e-008,3.76375e-008,3.21968e-008,8.41518e-008,3.76654e-008,4.3113e-008,4.06602e-007,5.43784e-008,5.3233e-008,1.01414e-006,5.57124e-008,6.81651e-008,6.34718e-008,
39,4.19257e-008,3.35937e-008,4.06616e-008,5.44762e-008,7.95352e-008,2.28451e-008,2.83556e-008,3.20711e-008,2.49683e-008,5.49302e-008,5.20457e-008,5.50559e-008,5.20457e-008,2.89352e-008,3.31956e-008,2.87537e-008,6.05175e-008,3.87689e-008,3.34051e-008,6.94711e-008,3.64152e-008,4.2666e-008,4.16149e-007,5.43924e-008,5.51118e-008,1.04712e-006,5.55727e-008,6.72362e-008,6.62584e-008,
40,4.27638e-008,3.34051e-008,4.03892e-008,5.61524e-008,8.12952e-008,3.19035e-008,2.98152e-008,2.60438e-008,3.38032e-008,5.61873e-008,5.3233e-008,5.66832e-008,5.34146e-008,2.93892e-008,3.13378e-008,3.10514e-008,6.13975e-008,3.94394e-008,3.3433e-008,6.70337e-008,3.75048e-008,4.30781e-008,4.10792e-007,5.40921e-008,5.38895e-008,9.98681e-007,5.58241e-008,7.18038e-008,6.46311e-008,
41,4.33784e-008,3.64152e-008,4.06337e-008,5.83803e-008,8.28737e-008,2.48565e-008,3.02343e-008,2.67981e-008,2.63162e-008,5.74584e-008,5.5007e-008,5.44203e-008,5.44273e-008,2.97594e-008,3.15333e-008,3.14984e-008,6.2047e-008,3.97187e-008,3.46273e-008,6.08038e-008,3.66667e-008,4.27708e-008,4.16673e-007,5.4141e-008,5.29886e-008,1.03962e-006,5.57194e-008,7.17689e-008,6.3346e-008,
42,4.43143e-008,3.25949e-008,4.27079e-008,5.90927e-008,8.54089e-008,2.5541e-008,2.74337e-008,2.83835e-008,2.70984e-008,5.87016e-008,5.56216e-008,5.56216e-008,5.58032e-008,3.10514e-008,3.22038e-008,3.28813e-008,6.37302e-008,4.13181e-008,3.49835e-008,6.94711e-008,3.7833e-008,4.30502e-008,4.07384e-007,5.40083e-008,5.28279e-008,9.99198e-007,5.80591e-008,6.82838e-008,6.54762e-008,
43,4.51035e-008,3.23225e-008,4.05498e-008,5.81289e-008,8.77276e-008,2.62883e-008,2.92914e-008,2.92006e-008,2.81391e-008,5.99448e-008,5.67879e-008,5.69835e-008,5.76679e-008,3.17359e-008,3.31886e-008,3.18616e-008,6.44845e-008,4.47333e-008,3.58635e-008,5.97073e-008,3.70508e-008,4.27987e-008,4.07803e-007,5.4134e-008,5.28978e-008,1.02109e-006,5.55587e-008,6.74527e-008,6.41632e-008,
44,4.71638e-008,3.23994e-008,4.06965e-008,5.63968e-008,9.06889e-008,2.73778e-008,2.9473e-008,3.34819e-008,2.90889e-008,6.25918e-008,5.79892e-008,6.61816e-008,5.79892e-008,3.26927e-008,3.40406e-008,3.33702e-008,6.40654e-008,4.27848e-008,3.68273e-008,8.32299e-008,3.79098e-008,4.31689e-008,4.08683e-007,5.41829e-008,5.29467e-008,1.02811e-006,5.56425e-008,6.64121e-008,6.28013e-008,
45,4.77714e-008,3.18057e-008,4.06057e-008,5.45949e-008,8.75111e-008,2.80692e-008,3.01365e-008,2.03168e-008,3.00737e-008,6.24591e-008,5.91765e-008,6.00076e-008,5.9386e-008,3.36984e-008,3.44248e-008,2.8614e-008,5.9854e-008,4.34483e-008,3.78191e-008,6.31086e-008,3.70019e-008,4.32737e-008,4.13942e-007,5.44902e-008,5.31143e-008,1.01653e-006,5.60406e-008,7.19645e-008,6.58533e-008,
46,4.91054e-008,3.44457e-008,4.04311e-008,5.83943e-008,8.91664e-008,2.87537e-008,3.10305e-008,2.1986e-008,2.91029e-008,6.37092e-008,6.05524e-008,6.03568e-008,6.03568e-008,3.58705e-008,3.51302e-008,3.02343e-008,6.36184e-008,3.81543e-008,3.3461e-008,8.07295e-008,3.85664e-008,4.92032e-008,4.08732e-007,5.40222e-008,5.51606e-008,9.90622e-007,5.55029e-008,7.63156e-008,6.43448e-008,
47,4.85397e-008,3.57378e-008,4.06267e-008,5.65854e-008,9.11638e-008,2.95848e-008,3.21898e-008,2.244e-008,2.96127e-008,6.49524e-008,6.25289e-008,6.15372e-008,6.36813e-008,3.51371e-008,3.55981e-008,3.31327e-008,6.28641e-008,3.97676e-008,3.44457e-008,5.13962e-008,3.6534e-008,4.23937e-008,4.05526e-007,5.39594e-008,5.30654e-008,1.01904e-006,5.61384e-008,6.83537e-008,6.80184e-008,
48,4.90356e-008,3.19873e-008,4.0466e-008,6.26197e-008,9.25118e-008,3.05486e-008,3.27905e-008,2.34737e-008,3.02971e-008,6.62095e-008,6.27314e-008,6.6007e-008,6.50641e-008,3.57238e-008,3.77841e-008,3.20571e-008,6.44705e-008,4.06057e-008,3.59683e-008,7.79848e-008,3.73581e-008,4.30851e-008,4.07363e-007,5.42387e-008,5.95537e-008,1.04825e-006,5.55308e-008,6.76762e-008,6.59721e-008,
49,4.98318e-008,3.30768e-008,4.05987e-008,5.7654e-008,9.31054e-008,3.14216e-008,2.84464e-008,2.3334e-008,3.10025e-008,6.74527e-008,6.39048e-008,6.87378e-008,6.39048e-008,3.61848e-008,3.92298e-008,3.31187e-008,6.52527e-008,4.14508e-008,3.57308e-008,7.31657e-008,3.71695e-008,4.29035e-008,4.05848e-007,5.40292e-008,5.39384e-008,1.02697e-006,5.5426e-008,6.644e-008,6.43308e-008,
50,5.06349e-008,3.31816e-008,4.03892e-008,5.93721e-008,1.08645e-007,3.24064e-008,3.05975e-008,2.47727e-008,3.18825e-008,6.87029e-008,6.50851e-008,6.50851e-008,6.50851e-008,3.67854e-008,3.82451e-008,3.39918e-008,6.60978e-008,4.13111e-008,3.66667e-008,8.10159e-008,3.77981e-008,4.33994e-008,4.07098e-007,5.412e-008,5.5014e-008,9.98842e-007,5.57752e-008,7.09448e-008,6.336e-008,
51,5.13264e-008,3.37892e-008,4.04241e-008,5.4127e-008,9.46908e-008,3.29092e-008,3.04927e-008,2.55549e-008,3.25041e-008,6.99391e-008,6.9946e-008,6.62654e-008,6.62654e-008,3.95791e-008,3.92648e-008,3.40476e-008,6.7334e-008,4.47613e-008,3.87689e-008,6.66216e-008,3.72673e-008,4.28895e-008,4.07524e-007,5.40222e-008,5.2786e-008,9.99003e-007,5.54679e-008,7.00718e-008,6.5986e-008,
52,5.21016e-008,3.24832e-008,4.06686e-008,5.52025e-008,9.62902e-008,3.36635e-008,3.20432e-008,2.63511e-008,3.73721e-008,7.37105e-008,7.12241e-008,6.76692e-008,6.74806e-008,3.89156e-008,3.99283e-008,3.40267e-008,6.89543e-008,4.39511e-008,3.82241e-008,8.02267e-008,3.79587e-008,4.33016e-008,4.07726e-007,5.39384e-008,5.5021e-008,9.85977e-007,5.53841e-008,7.17689e-008,6.56997e-008,
53,5.37638e-008,3.50533e-008,4.0487e-008,5.68438e-008,9.82737e-008,3.45295e-008,3.20013e-008,2.71054e-008,3.54724e-008,7.25022e-008,7.25022e-008,7.3501e-008,6.86959e-008,4.01448e-008,4.12413e-008,3.46832e-008,6.86959e-008,4.49498e-008,3.84686e-008,7.07352e-008,3.75048e-008,4.33225e-008,4.02831e-007,5.4141e-008,5.37289e-008,1.02426e-006,5.65645e-008,6.82978e-008,6.35276e-008,
54,5.35752e-008,3.52419e-008,4.05708e-008,5.94838e-008,9.88114e-008,3.54724e-008,3.36984e-008,3.40406e-008,3.63314e-008,7.3927e-008,7.37105e-008,7.00438e-008,7.41365e-008,4.05079e-008,4.19118e-008,2.96197e-008,6.45194e-008,4.59695e-008,3.84756e-008,1.01444e-007,3.83498e-008,4.37137e-008,4.05198e-007,5.39594e-008,5.2814e-008,9.9426e-007,5.53772e-008,6.61327e-008,6.59092e-008,
55,5.47835e-008,3.36635e-008,4.11086e-008,5.764e-008,1.04315e-007,3.62127e-008,3.35657e-008,2.87397e-008,3.73371e-008,7.51702e-008,7.74051e-008,7.10495e-008,7.49956e-008,4.11924e-008,4.24635e-008,3.27346e-008,6.63492e-008,4.29105e-008,3.54095e-008,5.34495e-008,3.74349e-008,4.30152e-008,4.08956e-007,5.40013e-008,5.50768e-008,9.98137e-007,5.60546e-008,7.09657e-008,6.47638e-008,
56,5.5433e-008,3.16521e-008,4.04521e-008,5.63968e-008,1.01654e-007,3.71695e-008,3.4781e-008,2.90889e-008,3.80146e-008,7.62318e-008,7.62318e-008,7.22229e-008,7.62318e-008,4.19397e-008,4.42165e-008,3.67016e-008,6.69848e-008,4.22121e-008,3.65689e-008,8.47454e-008,3.78889e-008,4.34762e-008,4.09577e-007,5.42248e-008,5.35613e-008,1.00175e-006,5.5454e-008,7.00927e-008,6.31295e-008,
57,5.77098e-008,3.14356e-008,4.03892e-008,5.73956e-008,1.04531e-007,3.83219e-008,3.08629e-008,3.02483e-008,3.90343e-008,7.74959e-008,8.0974e-008,7.34241e-008,7.75029e-008,4.29175e-008,4.41187e-008,3.46971e-008,6.84794e-008,4.28476e-008,3.75956e-008,7.02673e-008,3.72324e-008,4.34902e-008,4.0809e-007,5.41479e-008,5.29537e-008,1.03907e-006,5.82476e-008,6.78229e-008,6.58394e-008,
