Random-10 string increasing length,DirectComp,DirectLookup,DirectCompLookup<log n>,DirectCompLookup<sqrt n>,DirectCompLookup<n/log n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<8sqrt n>ac,Fingerprint_2<16sqrt n>ac,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
4096,8.39052e-009,6.68201e-008,1.52243e-008,1.48022e-008,1.50875e-008,1.09229e-008,1.1057e-008,1.1605e-008,1.1208e-008,1.11024e-008,1.1122e-008,1.18374e-008,1.13125e-008,1.03135e-008,1.11484e-008,1.4662e-008,1.20611e-008,1.37269e-008,1.03384e-008,6.81321e-008,1.11053e-008,1.38493e-008,1.18161e-006,7.12834e-008,1.55287e-008,,8.00917e-008,1.09295e-007,9.09509e-008,
8192,8.10166e-009,7.18479e-008,1.49867e-008,1.42497e-008,1.42817e-008,1.27159e-008,1.11325e-008,1.10486e-008,1.09417e-008,1.08456e-008,1.06967e-008,1.09736e-008,1.14143e-008,1.13306e-008,1.10261e-008,1.84588e-008,1.21482e-008,1.42532e-008,1.0273e-008,9.63304e-008,1.23428e-008,1.41245e-008,,7.91916e-008,1.67304e-008,,8.78922e-008,1.23318e-007,1.07494e-007,
16384,8.47985e-009,,1.57544e-008,1.48814e-008,1.5349e-008,1.4614e-008,1.14461e-008,1.12053e-008,1.12442e-008,1.13023e-008,1.1267e-008,1.13421e-008,1.13785e-008,1.06121e-008,1.10006e-008,1.8915e-008,1.21076e-008,1.39483e-008,1.11731e-008,9.03004e-008,1.25596e-008,1.42638e-008,,7.44261e-008,1.67123e-008,,8.78343e-008,1.24874e-007,1.08618e-007,
32768,9.08663e-009,,1.54687e-008,1.43668e-008,1.55754e-008,1.38412e-008,1.25705e-008,1.27651e-008,1.18307e-008,1.23388e-008,1.22924e-008,1.23251e-008,1.24762e-008,1.23956e-008,1.27472e-008,2.01398e-008,1.20966e-008,1.3944e-008,1.13779e-008,1.69399e-007,1.34465e-008,2.13188e-008,,8.12973e-008,1.91346e-008,,8.9864e-008,1.24962e-007,1.09919e-007,
65536,9.25998e-009,,,,,1.38491e-008,1.22723e-008,1.18683e-008,1.20859e-008,1.23958e-008,1.26859e-008,1.16938e-008,1.16193e-008,1.14112e-008,1.18724e-008,1.92742e-008,1.2526e-008,1.53253e-008,1.10331e-008,2.83262e-007,1.34227e-008,2.86648e-008,,8.29132e-008,2.00427e-008,,8.80347e-008,1.27556e-007,1.05752e-007,
131072,9.12365e-009,,,,,1.43309e-008,1.21435e-008,1.17298e-008,1.26945e-008,1.27537e-008,1.27239e-008,1.23891e-008,1.23009e-008,1.17006e-008,1.19162e-008,2.00338e-008,1.25258e-008,1.44738e-008,1.13994e-008,2.90796e-007,1.34248e-008,2.64129e-008,,8.5617e-008,2.30234e-008,,9.29065e-008,1.26222e-007,1.18513e-007,
262144,9.13314e-009,,,,,1.45275e-008,1.232e-008,1.2283e-008,1.22335e-008,1.20858e-008,1.21796e-008,1.22048e-008,1.21344e-008,1.18946e-008,1.20074e-008,2.03615e-008,1.23471e-008,1.44342e-008,1.07859e-008,3.80057e-007,1.27338e-008,2.83469e-008,,1.10071e-007,2.70769e-008,,1.27037e-007,1.52927e-007,1.34918e-007,
524288,9.59968e-009,,,,,1.45779e-008,1.22877e-008,1.24868e-008,1.21537e-008,1.19012e-008,1.21196e-008,1.25475e-008,1.17237e-008,1.67139e-008,1.23016e-008,2.03128e-008,1.18968e-008,1.52356e-008,1.13602e-008,4.15605e-007,1.31305e-008,2.66972e-008,,1.76113e-007,3.70045e-008,,1.88001e-007,1.88886e-007,2.02864e-007,
1048576,9.16667e-009,,,,,1.45914e-008,1.235e-008,1.22724e-008,1.15846e-008,1.15976e-008,1.23547e-008,1.18429e-008,1.22782e-008,1.73127e-008,1.32287e-008,1.99305e-008,1.22411e-008,1.49008e-008,1.07426e-008,4.30102e-007,1.29915e-008,3.34141e-008,,2.64469e-007,4.04284e-008,,2.83968e-007,2.86177e-007,2.75609e-007,
2097152,9.1425e-009,,,,,1.46273e-008,1.22159e-008,1.23991e-008,1.22575e-008,1.16835e-008,1.16126e-008,1.16444e-008,1.23332e-008,2.11862e-008,1.2846e-008,1.97339e-008,1.20559e-008,1.38799e-008,1.13436e-008,4.88149e-007,1.27573e-008,3.07514e-008,,3.11175e-007,3.98062e-008,,3.15345e-007,3.57982e-007,3.25045e-007,
4194304,9.06596e-009,,,,,1.3791e-008,1.16223e-008,1.21149e-008,1.17243e-008,1.1669e-008,1.27675e-008,1.25173e-008,1.21641e-008,2.08731e-008,1.40429e-008,1.96119e-008,1.26013e-008,1.41666e-008,1.09233e-008,5.45061e-007,1.33794e-008,3.4631e-008,,3.1016e-007,4.16802e-008,,3.4495e-007,3.83658e-007,3.4943e-007,
8388608,8.8051e-009,,,,,1.41677e-008,1.17472e-008,1.18407e-008,1.16951e-008,1.17279e-008,1.1565e-008,1.28549e-008,1.19807e-008,2.22085e-008,1.34077e-008,2.0132e-008,1.1848e-008,1.45703e-008,1.13825e-008,,,,,3.2523e-007,4.71979e-008,,3.49656e-007,4.07315e-007,3.50453e-007,
