Random-10 string increasing length,DirectComp,Fingerprint_2<sqrt n>ac_{cache-horizontal-shift},Fingerprint_2<sqrt n>ac_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-shift},Fingerprint_3<n^{2/3};n^{1/3}>ac_{cache-horizontal-mult},Fingerprint_{log n}ac,RMQ<n;1>,
2,1.72157e-008,1.64917e-008,1.11761e-008,1.19549e-008,1.16485e-008,1.29811e-008,2.03683e-008,
4,9.73252e-009,1.0808e-008,1.05256e-008,1.04603e-008,1.00134e-008,1.13504e-008,3.17296e-008,
8,9.77946e-009,1.11659e-008,1.15421e-008,1.1096e-008,1.15474e-008,1.21216e-008,4.36117e-008,
16,9.20557e-009,1.17701e-008,1.20353e-008,1.12586e-008,1.18549e-008,1.21237e-008,5.27165e-008,
32,8.34471e-009,9.6353e-009,1.02954e-008,9.70242e-009,9.85775e-009,1.05822e-008,5.68926e-008,
64,9.08726e-009,1.04374e-008,1.11476e-008,1.04557e-008,1.09407e-008,1.11877e-008,6.02778e-008,
128,8.55528e-009,1.00974e-008,1.069e-008,9.99066e-009,1.04432e-008,1.08447e-008,5.79312e-008,
256,8.47314e-009,1.00762e-008,1.08213e-008,9.93779e-009,1.04788e-008,1.09369e-008,5.78177e-008,
512,8.57581e-009,1.01312e-008,1.07293e-008,1.00471e-008,1.04974e-008,1.05187e-008,5.71583e-008,
1024,8.57127e-009,9.54709e-009,1.03878e-008,9.595e-009,9.87479e-009,1.06021e-008,5.68189e-008,
2048,8.62575e-009,1.01251e-008,1.07905e-008,1.02474e-008,1.05233e-008,1.08616e-008,6.32622e-008,
4096,8.58293e-009,1.03293e-008,1.0956e-008,1.05494e-008,1.06862e-008,1.09049e-008,6.93186e-008,
8192,8.16724e-009,9.81396e-009,1.11335e-008,1.0033e-008,1.03107e-008,1.12158e-008,7.28855e-008,
16384,8.54718e-009,1.0655e-008,1.14334e-008,1.07962e-008,1.13199e-008,1.26907e-008,7.3594e-008,
32768,8.79993e-009,1.1146e-008,1.23428e-008,1.17974e-008,1.22286e-008,1.32497e-008,7.28604e-008,
65536,8.8433e-009,1.07303e-008,1.17161e-008,1.13087e-008,1.15583e-008,1.37052e-008,7.84813e-008,
131072,9.27192e-009,1.15425e-008,1.23654e-008,1.24978e-008,1.25547e-008,1.35563e-008,8.45351e-008,
262144,8.86432e-009,1.18256e-008,1.18016e-008,1.5812e-008,1.14193e-008,1.27159e-008,9.86905e-008,
524288,8.78778e-009,1.73354e-008,1.21666e-008,1.99331e-008,1.33262e-008,1.32457e-008,1.81584e-007,
1048576,8.76131e-009,1.72625e-008,1.27197e-008,2.1602e-008,1.55192e-008,1.33338e-008,2.63853e-007,
2097152,9.92179e-009,2.11665e-008,1.32948e-008,2.37192e-008,2.26951e-008,1.35618e-008,2.99209e-007,
4194304,9.24978e-009,2.08033e-008,1.39571e-008,2.31692e-008,2.12424e-008,1.27979e-008,3.22769e-007,
8388608,9.21276e-009,2.27161e-008,1.42339e-008,2.39572e-008,2.22609e-008,,3.11171e-007,
