Random-4 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2048,1.19549e-008,6.2197e-008,1.77495e-008,1.71227e-008,1.7456e-008,1.75484e-008,1.78228e-008,1.36146e-008,1.52751e-008,1.51775e-008,1.52156e-008,1.58994e-008,1.59275e-008,1.52969e-008,1.61273e-008,1.75135e-008,1.51049e-008,1.83949e-008,1.33988e-008,5.88068e-008,1.55746e-008,1.9199e-008,6.14911e-007,6.47255e-008,2.49928e-008,1.44349e-006,7.43256e-008,1.04119e-007,8.91355e-008,
4096,1.1834e-008,6.78913e-008,1.87854e-008,1.82133e-008,1.85512e-008,1.77204e-008,1.73452e-008,1.36013e-008,1.5575e-008,1.52216e-008,1.51252e-008,1.52695e-008,1.53485e-008,1.54851e-008,1.67148e-008,1.89729e-008,1.54962e-008,1.83032e-008,1.37603e-008,7.07952e-008,1.55816e-008,1.91434e-008,1.17449e-006,7.41759e-008,2.7272e-008,,7.66199e-008,1.105e-007,9.54542e-008,
8192,1.18412e-008,7.72948e-008,1.90889e-008,1.93018e-008,1.72768e-008,1.72664e-008,1.88893e-008,1.48977e-008,1.51861e-008,1.51023e-008,1.54756e-008,1.54569e-008,1.63653e-008,1.6057e-008,1.73729e-008,2.0042e-008,1.51766e-008,1.83113e-008,1.38315e-008,8.11747e-008,1.71694e-008,1.98238e-008,,7.45811e-008,2.90976e-008,,7.89197e-008,1.20163e-007,1.0427e-007,
16384,1.17701e-008,,1.95001e-008,1.86938e-008,1.75146e-008,1.7325e-008,1.72985e-008,1.61793e-008,1.62639e-008,1.57124e-008,1.62478e-008,1.6273e-008,1.64279e-008,1.77699e-008,1.83224e-008,2.30401e-008,1.61338e-008,2.03548e-008,1.513e-008,9.29054e-008,1.80744e-008,2.04873e-008,,8.19508e-008,3.32418e-008,,8.59599e-008,1.25365e-007,1.03018e-007,
32768,1.24731e-008,,2.10103e-008,1.90699e-008,1.80635e-008,1.82201e-008,1.78072e-008,1.74162e-008,1.66715e-008,1.66597e-008,1.69175e-008,1.72429e-008,1.64999e-008,1.80749e-008,1.84199e-008,2.27708e-008,1.60264e-008,2.03845e-008,1.60363e-008,1.71795e-007,1.77817e-008,2.45984e-008,,7.79913e-008,3.2493e-008,,8.0364e-008,1.24715e-007,1.04481e-007,
65536,1.24e-008,,,,,,,1.7579e-008,1.73853e-008,1.74876e-008,1.66713e-008,1.74285e-008,1.75622e-008,1.85878e-008,1.89076e-008,2.25158e-008,1.5973e-008,2.01554e-008,1.64179e-008,2.48238e-007,1.81112e-008,2.99021e-008,,8.10394e-008,3.22357e-008,,8.35763e-008,1.27646e-007,1.15083e-007,
131072,1.2559e-008,,,,,,,1.7161e-008,1.64207e-008,1.64239e-008,1.64583e-008,1.63965e-008,1.67829e-008,1.77138e-008,1.85562e-008,2.36588e-008,1.60168e-008,2.02936e-008,1.62345e-008,2.66952e-007,1.8051e-008,3.13905e-008,,8.25617e-008,3.90101e-008,,8.98435e-008,1.35746e-007,1.19173e-007,
262144,1.25698e-008,,,,,,,1.72194e-008,1.65574e-008,1.65837e-008,1.66255e-008,1.65061e-008,1.67676e-008,1.91643e-008,1.8564e-008,2.37364e-008,1.7517e-008,2.03228e-008,1.56958e-008,3.48853e-007,1.80143e-008,3.44829e-008,,1.09858e-007,4.46277e-008,,1.13768e-007,1.54121e-007,1.35007e-007,
524288,1.25223e-008,,,,,,,1.71879e-008,1.64461e-008,1.64306e-008,1.64325e-008,1.65698e-008,1.66613e-008,3.01372e-008,1.95246e-008,2.28321e-008,1.59531e-008,2.02889e-008,1.56794e-008,4.06386e-007,1.90242e-008,4.42817e-008,,1.85583e-007,5.92376e-008,,1.88558e-007,1.91041e-007,1.97424e-007,
1048576,1.29978e-008,,,,,,,1.71463e-008,1.64989e-008,1.65008e-008,1.6958e-008,1.65315e-008,1.63765e-008,3.40952e-008,2.07962e-008,2.37325e-008,1.62146e-008,2.03624e-008,1.63341e-008,4.98137e-007,1.904e-008,7.49836e-008,,2.70645e-007,7.70131e-008,,2.8054e-007,2.86251e-007,2.74765e-007,
2097152,1.27925e-008,,,,,,,1.72345e-008,1.67796e-008,1.69014e-008,1.66257e-008,1.65552e-008,1.67523e-008,4.30488e-008,2.14896e-008,2.32755e-008,1.59122e-008,2.02951e-008,1.59837e-008,6.09176e-007,1.92202e-008,9.05431e-008,,3.01889e-007,8.20187e-008,,3.22233e-007,3.34775e-007,3.1664e-007,
4194304,1.30265e-008,,,,,,,1.72752e-008,1.65321e-008,1.6668e-008,1.75657e-008,1.66125e-008,1.65693e-008,4.30462e-008,2.16874e-008,2.47413e-008,1.65281e-008,2.22251e-008,1.57217e-008,6.1694e-007,1.84319e-008,9.66265e-008,,3.0984e-007,9.70991e-008,,3.37517e-007,3.72661e-007,3.38504e-007,
8388608,1.28609e-008,,,,,,,2.27816e-008,1.91342e-008,1.84465e-008,1.86804e-008,1.86441e-008,1.95523e-008,4.63325e-008,2.19179e-008,8.19525e-008,1.60409e-008,4.17723e-008,2.86054e-008,,,,,3.51672e-007,1.03617e-007,,3.52868e-007,3.99326e-007,3.40605e-007,
