Random-4 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<1/4sqrt n>ac,Fingerprint_2<1/2sqrt n>ac,Fingerprint_2<sqrt n>ac,Fingerprint_2<2sqrt n>ac,Fingerprint_2<4sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},
2,1.05587e-008,1.21534e-008,1.46624e-008,1.45485e-008,1.38374e-008,1.37485e-008,1.39908e-008,1.36538e-008,1.48879e-008,1.47858e-008,1.46524e-008,1.29771e-008,1.35046e-008,1.77515e-008,1.64209e-008,1.56639e-008,2.19543e-008,1.95943e-008,1.42262e-008,1.46352e-008,1.55256e-008,1.76554e-008,1.53228e-008,2.05075e-008,2.03505e-008,1.68241e-008,2.27416e-008,2.02286e-008,2.01769e-008,
4,1.135e-008,1.23398e-008,1.60199e-008,1.59716e-008,1.59269e-008,1.61802e-008,1.60363e-008,1.32221e-008,1.4098e-008,1.45632e-008,1.4365e-008,1.48558e-008,1.492e-008,1.50722e-008,1.44036e-008,1.61205e-008,1.53712e-008,1.55698e-008,1.35491e-008,1.79112e-008,1.46151e-008,1.43161e-008,2.43681e-008,3.424e-008,1.76117e-008,2.8722e-008,3.86854e-008,3.6318e-008,3.5886e-008,
8,1.08503e-008,1.20538e-008,1.6659e-008,1.6748e-008,1.62631e-008,1.62514e-008,1.61036e-008,1.27062e-008,1.35323e-008,1.36821e-008,1.58861e-008,1.35684e-008,1.32529e-008,1.31462e-008,1.38001e-008,1.51836e-008,1.47459e-008,1.52611e-008,1.21948e-008,1.874e-008,1.31318e-008,1.31581e-008,3.02657e-008,4.53493e-008,1.58542e-008,3.67093e-008,5.18555e-008,5.13237e-008,4.76394e-008,
16,1.1361e-008,1.13009e-008,1.7089e-008,1.7225e-008,1.80149e-008,1.74774e-008,1.73218e-008,1.33537e-008,1.45867e-008,1.4362e-008,1.44455e-008,1.44985e-008,1.45304e-008,1.44787e-008,1.47955e-008,1.66478e-008,1.47362e-008,1.6902e-008,1.30934e-008,2.17773e-008,1.42941e-008,1.45304e-008,3.96703e-008,5.17124e-008,1.81587e-008,4.83752e-008,6.15434e-008,6.77368e-008,5.57125e-008,
32,1.2219e-008,1.1151e-008,1.80371e-008,1.78716e-008,1.71483e-008,1.81161e-008,1.75197e-008,1.33713e-008,1.56601e-008,1.53362e-008,1.55984e-008,1.57349e-008,1.63311e-008,1.55393e-008,1.54388e-008,1.70679e-008,1.49294e-008,1.77045e-008,1.39105e-008,2.41084e-008,1.54295e-008,1.56779e-008,4.77165e-008,5.62525e-008,2.11505e-008,6.79446e-008,6.43094e-008,8.00343e-008,7.40327e-008,
64,1.16956e-008,1.01928e-008,1.74417e-008,1.71081e-008,1.85971e-008,1.83104e-008,1.81866e-008,1.40702e-008,1.55893e-008,1.5631e-008,1.56801e-008,1.56185e-008,1.50934e-008,1.49601e-008,1.56539e-008,1.70277e-008,1.50527e-008,1.75163e-008,1.38218e-008,2.56878e-008,1.49824e-008,1.49768e-008,6.06842e-008,5.95791e-008,2.36934e-008,9.42888e-008,6.40746e-008,8.45919e-008,7.30851e-008,
128,1.14955e-008,1.093e-008,1.75129e-008,1.74841e-008,1.71777e-008,1.72119e-008,1.75135e-008,1.37824e-008,1.5586e-008,1.55999e-008,1.51737e-008,1.49386e-008,1.47923e-008,1.49462e-008,1.55988e-008,1.71211e-008,1.49175e-008,1.82912e-008,1.38613e-008,3.07891e-008,1.5367e-008,1.55785e-008,8.39829e-008,5.72333e-008,2.31052e-008,1.37493e-007,6.57484e-008,9.13377e-008,7.56953e-008,
256,1.23408e-008,1.20048e-008,1.8891e-008,1.83264e-008,1.81052e-008,1.82348e-008,1.81289e-008,1.34511e-008,1.49665e-008,1.51892e-008,1.56428e-008,1.51506e-008,1.54145e-008,1.75127e-008,1.67698e-008,1.74208e-008,1.51942e-008,1.76198e-008,1.34377e-008,3.15237e-008,1.61215e-008,1.52563e-008,1.20725e-007,5.6821e-008,2.38893e-008,2.35006e-007,6.69378e-008,9.70484e-008,7.81803e-008,
512,1.17092e-008,1.21457e-008,1.72748e-008,1.73435e-008,1.80695e-008,1.78948e-008,1.81365e-008,1.4503e-008,1.57849e-008,1.565e-008,1.57229e-008,1.56659e-008,1.55435e-008,1.59759e-008,1.64873e-008,1.81633e-008,1.58517e-008,1.86079e-008,1.46247e-008,3.38199e-008,1.48061e-008,1.51313e-008,1.91482e-007,5.69761e-008,2.39259e-008,4.00697e-007,6.42569e-008,1.01663e-007,8.51699e-008,
1024,1.22812e-008,3.48532e-008,1.8987e-008,1.81541e-008,1.74401e-008,1.72061e-008,1.82861e-008,1.38483e-008,1.49624e-008,1.60712e-008,1.5204e-008,1.5211e-008,1.50284e-008,1.52591e-008,1.60018e-008,1.76633e-008,1.52227e-008,1.76332e-008,1.3036e-008,4.68336e-008,1.54163e-008,1.68537e-008,3.35705e-007,5.92142e-008,2.42293e-008,7.55459e-007,6.48939e-008,9.68659e-008,8.69632e-008,
