Repeat-25 string increasing length,DirectComp,DirectLookup,DirectCompLookup<10>,DirectCompLookup<20>,DirectCompLookup<100>,DirectCompLookup<sqrt n>,DirectCompLookup<2sqrt n>,Fingerprint_2<sqrt n>wc,Fingerprint_2<20>wc,Fingerprint_2<100>wc,Fingerprint_2<1/2sqrt n>wc,Fingerprint_2<2sqrt n>wc,Fingerprint_2<ln n>wc,Fingerprint_2<sqrt n>ac,Fingerprint_2<sqrt n>wc_{cache-horizontal-shift},Fingerprint_2<sqrt n>wc_{cache-horizontal-mult},Fingerprint_3<n^{2/3};n^{1/3}>wc,Fingerprint_3<n^{2/3};n^{1/3}>ac<n^{1/3};n^{2/3}>,Fingerprint_3<n^{2/3};n^{1/3}>ac<1;1>,Fingerprint_3<n^{2/3};n^{1/3}>ac,Fingerprint_{log n}wc,Fingerprint_{log n}ac,Fingerprint_{log n}ac_{cache-vertical-mult},RMQ<1;n>,RMQ<n;1>,DirectComp<1>RMQ<n;1>,RMQ<1;n>_{virtual},RMQ<n;1>_{virtual},RMQ<n;2log n>_{virtual},RMQ<n;4log n>_{virtual},RMQ<n;(2)log n>_{virtual},RMQ<n;(4)log n>_{virtual},
2048,3.05306e-008,6.19103e-008,1.47243e-008,1.49564e-008,1.82821e-008,1.60336e-008,1.82979e-008,1.26359e-008,1.41033e-008,1.28718e-008,1.36848e-008,1.20571e-008,1.91666e-008,1.19623e-008,1.59543e-008,1.84653e-008,1.56882e-008,1.70239e-008,1.41047e-008,1.20181e-008,5.59494e-008,1.44842e-008,1.73588e-008,5.9736e-007,6.25364e-008,1.00982e-008,1.4507e-006,7.30102e-008,9.25766e-008,8.44531e-008,8.88659e-008,8.29754e-008,
4096,5.06116e-008,6.71597e-008,1.57398e-008,1.59492e-008,1.82993e-008,1.63062e-008,1.82504e-008,1.35992e-008,1.72933e-008,1.35557e-008,1.46655e-008,1.38414e-008,2.56797e-008,1.28614e-008,1.65105e-008,1.81072e-008,1.67117e-008,1.86612e-008,1.50901e-008,1.23285e-008,6.75575e-008,1.66094e-008,2.00413e-008,1.16535e-006,6.79987e-008,1.03717e-008,2.863e-006,7.7386e-008,1.01052e-007,8.40012e-008,9.3533e-008,8.95618e-008,
8192,9.79695e-008,7.29774e-008,1.75593e-008,1.69344e-008,1.98879e-008,2.17749e-008,2.51123e-008,1.71666e-008,2.61003e-008,1.72483e-008,1.97654e-008,1.73958e-008,4.24473e-008,1.56691e-008,2.06795e-008,2.14393e-008,2.11373e-008,2.20685e-008,1.64729e-008,1.44332e-008,8.34295e-008,1.79833e-008,2.07916e-008,2.30194e-006,7.57159e-008,1.05984e-008,5.65132e-006,7.978e-008,1.02861e-007,9.23069e-008,1.01213e-007,9.33899e-008,
16384,1.88971e-007,,1.79442e-008,1.78792e-008,2.16166e-008,2.08049e-008,2.46989e-008,2.32849e-008,4.98707e-008,2.26201e-008,2.82193e-008,2.21511e-008,7.69033e-008,2.1124e-008,2.13399e-008,2.46366e-008,2.23198e-008,2.54552e-008,1.7837e-008,1.53901e-008,8.7727e-008,1.89774e-008,2.06882e-008,4.49291e-006,8.21356e-008,1.10864e-008,1.12772e-005,8.40065e-008,1.09354e-007,9.94793e-008,1.066e-007,9.56232e-008,
32768,3.65641e-007,,1.94233e-008,2.01356e-008,2.17442e-008,2.82712e-008,3.76528e-008,2.97268e-008,1.08913e-007,3.46383e-008,3.69622e-008,2.659e-008,1.51158e-007,2.57883e-008,2.42915e-008,2.57728e-008,2.51188e-008,3.01179e-008,1.93323e-008,1.72883e-008,1.66767e-007,2.51539e-008,3.23059e-008,9.06102e-006,7.73186e-008,1.2166e-008,,8.37532e-008,1.11451e-007,1.01063e-007,1.12774e-007,9.9423e-008,
65536,1.49633e-006,,,1.9098e-008,2.22822e-008,2.75363e-008,3.79479e-008,5.10909e-008,3.85109e-007,9.13149e-008,8.02281e-008,3.86591e-008,5.46813e-007,4.94399e-008,2.93589e-008,3.17913e-008,3.00027e-008,3.94753e-008,2.46053e-008,2.24432e-008,3.66429e-007,4.91707e-008,7.06826e-008,1.79243e-005,7.58198e-008,1.23079e-008,,8.63766e-008,1.10125e-007,9.49384e-008,1.05096e-007,9.92192e-008,
131072,3.67629e-006,,,,,,,7.6279e-008,9.47203e-007,2.00554e-007,1.24793e-007,5.37312e-008,1.32181e-006,7.41395e-008,3.65169e-008,3.74659e-008,3.32938e-008,4.60398e-008,2.96532e-008,2.75624e-008,4.05993e-007,5.24227e-008,8.57839e-008,,8.42385e-008,1.24865e-008,,8.76836e-008,1.11814e-007,1.01224e-007,1.12808e-007,9.62605e-008,
262144,8.00897e-006,,,,,,,1.08795e-007,2.05596e-006,4.37403e-007,1.93549e-007,7.68774e-008,2.8032e-006,1.11385e-007,4.91587e-008,4.62509e-008,4.59301e-008,6.32794e-008,3.7063e-008,3.47789e-008,4.47554e-007,5.73358e-008,9.6416e-008,,7.91054e-008,1.24743e-008,,8.47993e-008,1.09775e-007,1.04571e-007,1.11332e-007,1.06103e-007,
524288,1.69118e-005,,,,,,,1.89186e-007,4.37863e-006,9.14042e-007,3.05253e-007,1.43919e-007,5.81167e-006,1.88815e-007,9.21155e-008,6.48234e-008,9.3599e-008,1.15562e-007,8.71459e-008,8.50309e-008,4.78519e-007,6.4547e-008,1.04918e-007,,8.29362e-008,1.21923e-008,,9.16867e-008,1.16598e-007,1.09781e-007,1.1396e-007,1.04829e-007,
1048576,,,,,,,,1.37487e-006,2.56127e-005,5.23269e-006,2.28136e-006,4.60437e-007,2.83255e-005,1.37094e-006,1.2427e-007,9.14976e-008,1.39865e-007,1.71986e-007,1.32621e-007,1.30477e-007,4.84044e-007,6.76937e-008,1.12521e-007,,8.79907e-008,1.2673e-008,,1.01027e-007,1.24673e-007,1.08263e-007,1.22114e-007,1.12242e-007,
2097152,,,,,,,,1.48203e-006,,1.74709e-005,2.88406e-006,7.60907e-007,,1.46554e-006,1.60733e-007,1.3145e-007,2.05694e-007,2.32521e-007,1.87666e-007,1.82876e-007,5.59638e-007,6.8856e-008,1.23904e-007,,9.64353e-008,1.24813e-008,,1.04434e-007,1.27826e-007,1.13862e-007,1.29715e-007,1.17941e-007,
4194304,,,,,,,,2.96038e-006,,,6.43361e-006,1.34402e-006,,2.90397e-006,2.24869e-007,1.94893e-007,2.66237e-007,3.07992e-007,2.47216e-007,2.47403e-007,6.18311e-007,7.16625e-008,1.22855e-007,,9.22329e-008,1.25894e-008,,9.4364e-008,1.38117e-007,1.09393e-007,1.23882e-007,1.08441e-007,
8388608,,,,,,,,3.6785e-006,,,7.73518e-006,1.88874e-006,,3.70611e-006,2.77126e-007,2.76615e-007,3.42434e-007,3.97495e-007,3.18667e-007,3.13216e-007,,,,,9.86533e-008,1.20457e-008,,9.27586e-008,1.27529e-007,1.10609e-007,1.24321e-007,1.10688e-007,
